query,time,httpCalls,nbResults,errors
query_10603,,0
query_10941,2.182,1,0
query_12279,180.175,1,0
query_2489,2.026,1,0
query_248,0.024,1,0
query_2491,0.024,1,0
query_2492,12.4,1,0
query_2496,3.124,1,0
query_2497,0.19,1,0
query_2498,11.074,1,0
query_2499,12.407,1,0
query_249,8.413,1,0
query_24,245.953,1,0
query_2500,168.592,1,0
query_2503,91.825,1,0
query_2505,17.994,1,0
query_2507,,0
query_2508,132.353,1,0
query_2509,273.243,1,0
query_250,140.848,1,0
query_2510,186.464,1,0
query_2511,9.818,1,0
query_2512,10.195,1,0
query_2513,69.381,1,0
query_2514,284.182,1,0
query_2517,3.251,1,0
query_2518,168.314,1,0
query_2519,3.463,1,0
query_2520,,0
query_2521,56.313,1,0
query_2522,14.125,1,0
query_2525,0.923,1,0
query_2527,26.459,1,0
query_2528,185.112,1,0
query_2529,6.62,1,0
query_252,0.188,1,0
query_2530,17.484,1,0
query_2532,10.33,1,0
query_2533,71.346,1,0
query_2535,0.941,1,0
query_2538,17.79,1,0
query_2539,67.842,1,0
query_253,134.313,1,0
query_2541,84.482,1,0
query_2542,14.155,1,0
query_2543,52.146,1,0
query_2545,55.621,1,0
query_2546,0.039,1,0
query_2547,2.074,1,0
query_2549,15.388,1,0
query_254,0.024,1,0
query_2550,12.721,1,0
query_2551,5.352,1,0
query_2552,,0
query_2553,16.683,1,0
query_2554,15.913,1,0
query_2555,75.952,1,0
query_2556,181.239,1,0
query_2557,106.876,1,0
query_2558,0.037,1,0
query_2559,112.087,1,0
query_255,14.718,1,0
query_2560,17.528,1,0
query_2561,58.563,1,0
query_2563,18.225,1,0
query_2565,5.992,1,0
query_2566,114.445,1,0
query_2567,,0
query_2568,3.174,1,0
query_2569,0.025,1,0
query_2573,0.97,1,0
query_2574,31.139,1,0
query_2576,2.745,1,0
query_2577,0.855,1,0
query_2579,133.565,1,0
query_257,97.151,1,0
query_2580,142.636,1,0
query_2581,7.432,1,0
query_2582,42.565,1,0
query_2583,0.189,1,0
query_2584,138.899,1,0
query_2586,0.366,1,0
query_2587,49.164,1,0
query_2588,5.567,1,0
query_2589,1.055,1,0
query_258,88.711,1,0
query_2591,39.558,1,0
query_2592,36.988,1,0
query_2593,37.007,1,0
query_2594,0.207,1,0
query_2596,14.445,1,0
query_2597,0.521,1,0
query_2598,107.456,1,0
query_2599,0.025,1,0
query_259,108.609,1,0
query_25,42.197,1,0
query_2601,18.024,1,0
query_2602,160.255,1,0
query_2603,12.155,1,0
query_2604,3.27,1,0
query_2605,90.331,1,0
query_2607,0.103,1,0
query_2608,32.331,1,0
query_260,0.139,1,0
query_2610,132.582,1,0
query_2611,165.444,1,0
query_2613,243.406,1,0
query_2617,0.024,1,0
query_2618,2.374,1,0
query_2619,0.28,1,0
query_261,176.987,1,0
query_2620,96.899,1,0
query_2621,14.747,1,0
query_2622,5.792,1,0
query_2624,93.266,1,0
query_2625,88.71,1,0
query_2626,3.727,1,0
query_2631,3.73,1,0
query_2632,8.847,1,0
query_2633,0.093,1,0
query_2635,79.938,1,0
query_2636,0.026,1,0
query_2638,68.29,1,0
query_2639,7.153,1,0
query_263,7.593,1,0
query_2641,120.447,1,0
query_2642,57.285,1,0
query_2643,91.279,1,0
query_2644,5.993,1,0
query_2645,116.945,1,0
query_2647,0.078,1,0
query_2648,24.949,1,0
query_2649,2.876,1,0
query_2650,2.487,1,0
query_2651,0.09,1,0
query_2652,11.239,1,0
query_2653,13.491,1,0
query_2654,174.957,1,0
query_2655,1.82,1,0
query_2656,0.473,1,0
query_2657,1.79,1,0
query_2658,35.577,1,0
query_2659,89.163,1,0
query_265,67.757,1,0
query_2660,,0
query_2661,9.088,1,0
query_3379,69.493,1,0
query_4234,,0
query_4251,52.335,1,0
query_448,12.293,1,0
query_5691,0.167,1,0
query_711,19.303,1,0
query_7877,13.447,1,0
query_8928,36.928,1,0
query_9017,41.516,1,0
query_9639,0.09,1,0
