queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,query_10114.rq,2479,1,1,31,33926832,0,3643,30302,0
2,query_1587.rq,56,1,1,31,33926832,0,257,26805,26
3,query_3598.rq,49,1,1,29,32041960,0,148,36417,227940
4,query_9405.rq,28,1,1,14,15614004,0,167,17106,140199
5,query_3864.rq,32,1,1,10,10614562,0,112,15604,126516
6,query_9909.rq,28,1,1,14,15570273,0,136,12819,51302
7,query_3842.rq,31,1,1,7,7458138,0,70,9151,62105
8,query_9389.rq,30,1,1,10,10614562,0,112,15579,126516
9,query_10148.rq,31,1,1,9,10265428,0,68,11174,146996
10,query_9410.rq,31,1,1,5,6620131,0,401,10349,36225
11,query_10027.rq,35,1,1,65,69616756,0,180,80378,283797
12,query_9903.rq,37,1,1,29,32041960,0,111,23616,231254
13,query_4128.rq,38,1,1,17,18694647,0,117,16233,63420
14,query_9432.rq,39,1,1,9,10265428,0,78,11285,97273
15,query_11543.rq,41,1,1,31,33926832,0,155,21294,26
16,query_4166.rq,39,1,1,13,14182578,0,80,17300,225094
17,query_3705.rq,42,1,1,9,10265428,0,74,10355,98624
18,query_9379.rq,43,1,1,9,10265428,0,76,10566,97273
19,query_9433.rq,43,1,1,6,7692817,0,216,9611,45411
20,query_1582.rq,43,1,1,14,15614004,0,96,16624,140199
21,query_4146.rq,42,2,2,20,23306821,0,289,21465,28167
22,query_10022.rq,43,1,1,14,15570273,0,108,12432,51302
23,query_1536.rq,45,2,2,28,31184277,0,137,25271,56210
24,query_10166.rq,47,1,1,16,17307022,0,145,12188,1
25,query_10004.rq,45,1,1,16,17307022,0,150,12023,1
26,query_9334.rq,45,1,1,5,6535256,0,154,7013,0
27,query_1542.rq,45,1,1,65,69616756,0,194,65568,283797
28,query_4075.rq,45,1,1,14,15570273,0,124,13623,90045
29,query_4112.rq,44,1,1,6,7692817,0,228,9586,45411
30,query_10123.rq,44,1,1,31,33926832,0,139,22720,26
31,query_10105.rq,48,1,1,65,69616756,0,189,63723,283797
32,query_1479.rq,48,1,1,65,69616756,0,173,62780,283797
33,query_3771.rq,51,1,1,9,10265428,0,90,10291,98014
34,query_3859.rq,52,1,1,12,14306627,0,159,11109,0
35,query_10084.rq,50,1,1,65,69616756,0,173,48185,94099
36,query_10120.rq,51,1,1,9,10265428,0,87,11384,146996
37,query_9352.rq,55,1,1,7,7458138,0,91,9291,62105
38,query_4149.rq,54,1,1,29,32041960,0,114,24809,231955
39,query_9306.rq,56,1,1,7,7458138,0,91,8840,42461
40,query_1603.rq,57,1,1,31,33926832,0,136,20589,26
41,query_10158.rq,58,2,2,11,13117048,0,210,15062,33192
42,query_1585.rq,59,1,1,13,14182578,0,94,17075,225094
43,query_160.rq,61,1,1,0,1011005,0,229,11528,139951
44,query_4124.rq,62,1,1,29,32041960,0,106,23175,225843
45,query_10109.rq,62,1,1,10,10614562,0,133,15617,126516
46,query_10159.rq,63,1,1,5,6620131,0,384,10214,36225
47,query_2200.rq,62,1,1,7,7458138,0,98,8783,42461
48,query_1600.rq,67,1,1,31,33926832,0,148,20949,26
49,query_4107.rq,67,1,1,31,33926832,0,144,19126,26
50,query_3856.rq,65,1,1,9,10265428,0,96,11435,146996
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
53,53,1022,1124973282,11370,1034050
