2019-06-14 22:46:56,188.23 G,29.55 G,21.02 K,852.00 B
2019-06-14 22:47:02,188.23 G,29.55 G,0.00 B,0.00 B
2019-06-14 22:47:08,188.23 G,29.55 G,0.00 B,0.00 B
2019-06-14 22:47:14,188.23 G,29.55 G,0.00 B,0.00 B
2019-06-14 22:47:21,188.23 G,29.55 G,206.00 B,1.18 K
2019-06-14 22:47:27,188.23 G,29.55 G,22.53 K,2.27 K
2019-06-14 22:47:33,188.23 G,29.55 G,206.00 B,956.00 B
2019-06-14 22:47:39,188.23 G,29.55 G,12.74 K,2.09 K
2019-06-14 22:47:45,188.23 G,29.55 G,24.98 K,2.51 K
2019-06-14 22:47:51,188.23 G,29.55 G,0.00 B,0.00 B
2019-06-14 22:47:57,188.23 G,29.55 G,146.26 K,6.19 K
2019-06-14 22:48:03,188.23 G,29.55 G,20.47 K,2.31 K
2019-06-14 22:48:09,188.23 G,29.55 G,30.64 K,2.35 K
2019-06-14 22:48:15,188.23 G,29.55 G,1.43 K,462.00 B
2019-06-14 22:48:21,188.23 G,29.55 G,6.85 K,1.16 K
2019-06-14 22:48:27,188.23 G,29.55 G,1.66 K,1.38 K
2019-06-14 22:48:33,188.23 G,29.55 G,0.00 B,0.00 B
2019-06-14 22:48:39,188.23 G,29.55 G,206.00 B,823.00 B
2019-06-14 22:48:45,188.23 G,29.55 G,39.74 K,2.21 K
2019-06-14 22:48:51,188.24 G,29.55 G,551.76 K,12.87 K
2019-06-14 22:48:57,188.24 G,29.55 G,2.04 K,2.56 K
2019-06-14 22:49:03,188.24 G,29.55 G,3.70 K,4.29 K
2019-06-14 22:49:09,188.24 G,29.55 G,1.85 K,2.15 K
2019-06-14 22:49:15,188.24 G,29.55 G,626.70 K,82.23 K
2019-06-14 22:49:21,188.24 G,29.55 G,0.00 B,0.00 B
2019-06-14 22:49:27,188.24 G,29.55 G,5.58 K,1.48 K
2019-06-14 22:49:33,188.24 G,29.55 G,0.00 B,0.00 B
2019-06-14 22:49:39,188.24 G,29.55 G,458.80 K,13.05 K
2019-06-14 22:49:46,188.25 G,29.55 G,0.00 B,0.00 B
2019-06-14 22:49:52,188.25 G,29.55 G,43.08 K,8.57 K
2019-06-14 22:49:58,188.25 G,29.55 G,562.83 K,17.84 K
2019-06-14 22:50:04,188.25 G,29.55 G,663.90 K,127.80 K
2019-06-14 22:50:10,188.25 G,29.55 G,128.86 K,1.74 K
2019-06-14 22:50:16,188.25 G,29.55 G,206.00 B,1.02 K
2019-06-14 22:50:22,188.26 G,29.55 G,973.71 K,15.66 K
2019-06-14 22:50:28,188.26 G,29.55 G,678.31 K,13.48 K
2019-06-14 22:50:34,188.26 G,29.55 G,512.09 K,10.79 K
2019-06-14 22:50:40,188.27 G,29.55 G,805.83 K,15.52 K
2019-06-14 22:50:46,188.27 G,29.55 G,555.37 K,11.59 K
2019-06-14 22:50:52,188.28 G,29.55 G,505.43 K,9.46 K
