2019-06-25 15:17:36,19.65 G,322.95 G,3.18 K,14.44 K
2019-06-25 15:17:38,19.65 G,322.96 G,102.40 K,10.39 M
2019-06-25 15:17:40,19.65 G,323.01 G,116.76 K,27.23 M
2019-06-25 15:17:42,19.65 G,323.02 G,40.53 K,2.42 M
2019-06-25 15:17:44,19.65 G,323.02 G,45.23 K,2.82 M
2019-06-25 15:17:46,19.65 G,323.03 G,33.18 K,2.42 M
2019-06-25 15:17:48,19.65 G,323.03 G,60.45 K,2.86 M
2019-06-25 15:17:51,19.65 G,323.04 G,26.17 K,2.42 M
2019-06-25 15:17:53,19.65 G,323.04 G,26.04 K,2.42 M
2019-06-25 15:17:55,19.65 G,323.04 G,26.33 K,2.41 M
2019-06-25 15:17:57,19.65 G,323.05 G,55.00 B,630.00 B
2019-06-25 15:17:59,19.65 G,323.05 G,440.00 B,1008.00 B
2019-06-25 15:18:01,19.65 G,323.05 G,24.57 K,1.07 M
2019-06-25 15:18:03,19.65 G,323.05 G,30.49 K,2.42 M
2019-06-25 15:18:05,19.65 G,323.06 G,29.17 K,2.42 M
2019-06-25 15:18:07,19.65 G,323.06 G,30.07 K,2.43 M
2019-06-25 15:18:09,19.65 G,323.07 G,24.29 K,2.44 M
2019-06-25 15:18:11,19.65 G,323.07 G,22.69 K,2.44 M
2019-06-25 15:18:13,19.65 G,323.08 G,23.20 K,2.44 M
2019-06-25 15:18:15,19.65 G,323.08 G,429.00 B,24.32 K
2019-06-25 15:18:17,19.65 G,323.08 G,110.00 B,732.00 B
2019-06-25 15:18:19,19.65 G,323.08 G,27.42 K,1.19 M
2019-06-25 15:18:21,19.65 G,323.08 G,204.00 B,462.00 B
2019-06-25 15:18:23,19.65 G,323.08 G,687.00 B,2.04 K
2019-06-25 15:18:25,19.65 G,323.08 G,31.42 K,2.43 M
2019-06-25 15:18:27,19.65 G,323.09 G,39.43 K,2.51 M
2019-06-25 15:18:29,19.65 G,323.09 G,32.25 K,2.43 M
2019-06-25 15:18:31,19.65 G,323.10 G,85.69 K,4.22 M
