query,time,httpCalls,nbResults,errors
query_10109,,0
query_10171,,0
query_10200,0.447,1,0
query_10377,,0
query_10389,24.802,1,0
query_10390,3.776,1,0
query_10433,198.266,1,0
query_10596,11.53,1,0
query_10687,0.192,1,0
query_10690,0.394,1,0
query_10719,,0
query_10869,,0
query_10907,27.713,1,0
query_10973,60.142,1,0
query_11020,37.6,1,0
query_11071,3.886,1,0
query_11143,60.074,1,0
query_11194,0.388,1,0
query_11293,12.659,1,0
query_11339,0.185,1,0
query_11349,175.044,1,0
query_11355,0.583,1,0
query_11513,2.332,1,0
query_11514,68.253,1,0
query_11674,11.666,1,0
query_11675,115.363,1,0
query_11742,,0
query_1175,,0
query_11776,0.298,1,0
query_11788,42.481,1,0
query_12075,0.245,1,0
query_12140,55.352,1,0
query_12229,170.776,1,0
query_12394,42.354,1,0
query_1283,0.023,1,0
query_1288,84.405,1,0
query_1313,1.132,1,0
query_1334,17.137,1,0
query_133,153.207,1,0
query_1399,0.68,1,0
query_1400,5.495,1,0
query_1401,101.51,1,0
query_1419,56.081,1,0
query_1471,61.946,1,0
query_1536,30.46,1,0
query_1766,13.158,1,0
query_1770,,0
query_1883,6.646,1,0
query_1941,105.708,1,0
query_2091,0.219,1,0
query_2163,91.33,1,0
query_2171,1.989,1,0
query_2202,2.241,1,0
query_2221,209.942,1,0
query_2482,0.351,1,0
query_2503,75.776,1,0
query_2550,12.891,1,0
query_2563,23.903,1,0
query_2678,149.023,1,0
query_2709,0.324,1,0
query_2718,165.992,1,0
query_2886,114.078,1,0
query_292,112.342,1,0
query_294,0.148,1,0
query_296,18.906,1,0
query_307,30.694,1,0
query_3084,1.226,1,0
query_3100,116.646,1,0
query_3202,11.847,1,0
query_3251,1.366,1,0
query_3428,56.38,1,0
query_3454,231.656,1,0
query_3470,121.29,1,0
query_3544,5.044,1,0
query_3558,0.049,1,0
query_3626,192.48,1,0
query_365,25.155,1,0
query_3675,4.089,1,0
query_3734,,0
query_3737,27.987,1,0
query_3739,13.078,1,0
query_3875,,0
query_4102,0.022,1,0
query_4139,12.318,1,0
query_4189,6.409,1,0
query_4299,0.494,1,0
query_4432,127.379,1,0
query_448,33.409,1,0
query_4544,4.366,1,0
query_4642,0.82,1,0
query_4736,204.347,1,0
query_4751,6.055,1,0
query_4772,11.975,1,0
query_490,112.793,1,0
query_4911,0.022,1,0
query_5099,18.759,1,0
query_5105,221.912,1,0
query_5233,0.076,1,0
query_5373,25.492,1,0
query_5554,2.871,1,0
query_5575,,0
query_5688,10.407,1,0
query_5760,29.574,1,0
query_582,2.724,1,0
query_5853,62.895,1,0
query_5923,4.467,1,0
query_5929,149.732,1,0
query_5976,1.398,1,0
query_5980,0.217,1,0
query_5987,5.964,1,0
query_59,0.368,1,0
query_635,80.255,1,0
query_6378,13.245,1,0
query_6389,82.354,1,0
query_6422,103.846,1,0
query_6476,20.926,1,0
query_6499,17.703,1,0
query_6544,,0
query_6568,3.377,1,0
query_6594,49.787,1,0
query_6684,251.307,1,0
query_6693,2.64,1,0
query_66,0.025,1,0
query_6709,4.524,1,0
query_6788,107.022,1,0
query_6888,0.212,1,0
query_7182,0.059,1,0
query_7251,26.557,1,0
query_7355,0.5,1,0
query_7495,67.528,1,0
query_7589,169.338,1,0
query_7707,0.291,1,0
query_778,48.206,1,0
query_8070,32.869,1,0
query_8080,2.828,1,0
query_8464,8.942,1,0
query_8789,184.73,1,0
query_8808,37.678,1,0
query_8869,0.093,1,0
query_8890,0.13,1,0
query_8930,0.59,1,0
query_895,0.853,1,0
query_8,58.697,1,0
query_9070,26.148,1,0
query_90,0.024,1,0
query_9350,1.306,1,0
query_9362,0.26,1,0
query_9375,0.021,1,0
query_9398,298.019,1,0
query_9405,19.014,1,0
query_9499,143.088,1,0
query_9543,0.214,1,0
query_9618,22.381,1,0
query_9811,54.239,1,0
query_9822,80.713,1,0
query_9856,0.165,1,0
