query,time,httpCalls,nbResults,errors
query_10750,,0
query_1086,,0
query_10870,3.912,1,0
query_10871,26.295,1,0
query_10872,236.865,1,0
query_10873,3.731,1,0
query_10875,39.299,1,0
query_10876,0.061,1,0
query_10877,,0
query_10878,0.032,1,0
query_10879,0.034,1,0
query_1087,4.244,1,0
query_10880,120.891,1,0
query_10881,10.471,1,0
query_10882,19.56,1,0
query_10883,3.545,1,0
query_10884,2.717,1,0
query_10885,88.105,1,0
query_10886,0.201,1,0
query_10888,0.038,1,0
query_10889,35.703,1,0
query_1088,4.667,1,0
query_10890,,0
query_10891,7.238,1,0
query_10892,144.096,1,0
query_10895,1.104,1,0
query_10896,0.292,1,0
query_10897,58.755,1,0
query_10898,9.572,1,0
query_10899,0.149,1,0
query_1089,47.875,1,0
query_108,14.247,1,0
query_10900,8.86,1,0
query_10902,127.6,1,0
query_10903,10.763,1,0
query_10904,,0
query_10905,7.703,1,0
query_10906,24.888,1,0
query_10907,103.214,1,0
query_10909,2.559,1,0
query_1090,101.213,1,0
query_10910,3.539,1,0
query_10913,2.446,1,0
query_10914,37.733,1,0
query_10915,196.261,1,0
query_10916,,0
query_10917,0.074,1,0
query_10918,10.398,1,0
query_10919,0.335,1,0
query_1091,0.461,1,0
query_10920,123.966,1,0
query_10921,3.832,1,0
query_10922,54.229,1,0
query_10923,79.508,1,0
query_10924,24.062,1,0
query_10925,0.45,1,0
query_10926,15.546,1,0
query_10928,0.806,1,0
query_10929,57.195,1,0
query_10930,156.34,1,0
query_10931,24.903,1,0
query_10932,65.865,1,0
query_10933,121.613,1,0
query_10934,54.287,1,0
query_10935,106.205,1,0
query_10936,73.156,1,0
query_10937,10.217,1,0
query_10938,6.542,1,0
query_1093,59.968,1,0
query_10941,1.131,1,0
query_10943,5.761,1,0
query_10944,126.495,1,0
query_10945,0.626,1,0
query_10946,3.05,1,0
query_1094,10.696,1,0
query_10951,0.025,1,0
query_10952,286.002,1,0
query_10954,0.196,1,0
query_10955,160.773,1,0
query_10956,194.767,1,0
query_10958,0.132,1,0
query_10959,10.585,1,0
query_1095,92.61,1,0
query_10961,0.026,1,0
query_10962,0.029,1,0
query_10963,1.058,1,0
query_10964,14.318,1,0
query_10965,,0
query_10966,1.55,1,0
query_10967,89.492,1,0
query_10968,160.936,1,0
query_10969,,0
query_1096,2.765,1,0
query_10971,272.06,1,0
query_10972,51.087,1,0
query_10973,69.968,1,0
query_10975,9.383,1,0
query_10977,128.821,1,0
query_10978,128.959,1,0
query_10979,40.942,1,0
query_10980,0.602,1,0
query_10983,0.316,1,0
query_10985,0.556,1,0
query_10986,173.68,1,0
query_10987,97.91,1,0
query_10988,2.751,1,0
query_1098,210.558,1,0
query_10990,0.866,1,0
query_10991,53.574,1,0
query_10992,0.443,1,0
query_10995,0.321,1,0
query_10998,273.928,1,0
query_10999,0.08,1,0
query_1099,1.615,1,0
query_10,3.791,1,0
query_11000,24.294,1,0
query_11001,57.45,1,0
query_11002,24.922,1,0
query_11003,34.084,1,0
query_11004,0.025,1,0
query_11006,,0
query_11008,0.37,1,0
query_11009,92.887,1,0
query_1100,54.347,1,0
query_11010,0.156,1,0
query_11011,58.761,1,0
query_11012,176.931,1,0
query_11013,1.318,1,0
query_11014,46.735,1,0
query_11015,137.921,1,0
query_11016,164.702,1,0
query_11017,4.154,1,0
query_11018,60.53,1,0
query_11019,83.3,1,0
query_1101,36.492,1,0
query_11020,22.218,1,0
query_11021,11.67,1,0
query_11025,0.024,1,0
query_11026,220.484,1,0
query_11027,47.436,1,0
query_11029,75.732,1,0
query_1102,0.023,1,0
query_11030,20.083,1,0
query_11031,110.856,1,0
query_11033,5.468,1,0
query_11034,97.071,1,0
query_11035,62.224,1,0
query_11036,59.914,1,0
query_11038,0.025,1,0
query_11039,0.025,1,0
query_1103,0.028,1,0
query_11040,1.947,1,0
query_11041,2.388,1,0
query_5602,3.25,1,0
query_6314,80.149,1,0
query_768,0.361,1,0
