2019-06-05 04:43:12,233.8,169.55 M
2019-06-05 04:43:14,374.6,537.76 M
2019-06-05 04:43:16,8.0,546.34 M
2019-06-05 04:43:18,733.8,784.65 M
2019-06-05 04:43:20,761.4,784.56 M
2019-06-05 04:43:22,130.0,787.33 M
2019-06-05 04:43:24,744.8,865.71 M
2019-06-05 04:43:26,759.4,859.37 M
2019-06-05 04:43:28,315.7,852.93 M
2019-06-05 04:43:30,5.0,853.72 M
2019-06-05 04:43:32,4.0,848.21 M
2019-06-05 04:43:34,321.9,892.34 M
2019-06-05 04:43:36,93.9,939.63 M
2019-06-05 04:43:38,77.9,962.70 M
2019-06-05 04:43:40,65.9,1009.29 M
2019-06-05 04:43:42,78.9,1.01 G
2019-06-05 04:43:44,50.9,1.01 G
2019-06-05 04:43:46,52.0,1.03 G
2019-06-05 04:43:48,53.9,1.03 G
2019-06-05 04:43:50,44.0,1.06 G
2019-06-05 04:43:52,40.0,1.08 G
2019-06-05 04:43:54,77.0,1.08 G
2019-06-05 04:43:56,52.0,1.08 G
2019-06-05 04:43:58,81.9,1.08 G
2019-06-05 04:44:00,53.9,1.09 G
2019-06-05 04:44:02,44.9,1.09 G
2019-06-05 04:44:04,69.9,1.10 G
2019-06-05 04:44:06,55.9,1.10 G
2019-06-05 04:44:08,39.0,1.10 G
2019-06-05 04:44:10,20.0,1.10 G
2019-06-05 04:44:12,40.0,1.10 G
2019-06-05 04:44:14,49.9,1.10 G
2019-06-05 04:44:16,143.9,1.11 G
2019-06-05 04:44:18,50.9,1.11 G
2019-06-05 04:44:20,63.9,1.12 G
2019-06-05 04:44:22,59.9,1.12 G
2019-06-05 04:44:24,48.9,1.12 G
2019-06-05 04:44:26,49.9,1.12 G
2019-06-05 04:44:28,40.0,1.12 G
2019-06-05 04:44:30,48.0,1.12 G
2019-06-05 04:44:32,48.9,1.12 G
2019-06-05 04:44:34,44.9,1.12 G
2019-06-05 04:44:36,43.0,1.12 G
2019-06-05 04:44:38,44.9,1.12 G
2019-06-05 04:44:40,219.7,1.12 G
2019-06-05 04:44:42,51.0,1.12 G
2019-06-05 04:44:44,59.9,1.12 G
2019-06-05 04:44:46,92.0,1.13 G
2019-06-05 04:44:48,45.0,1.13 G
2019-06-05 04:44:50,45.9,1.13 G
2019-06-05 04:44:52,34.0,1.13 G
2019-06-05 04:44:54,35.0,1.13 G
2019-06-05 04:44:56,42.9,1.13 G
2019-06-05 04:44:58,44.9,1.13 G
2019-06-05 04:45:00,46.0,1.13 G
2019-06-05 04:45:02,34.0,1.13 G
2019-06-05 04:45:04,47.9,1.13 G
2019-06-05 04:45:06,45.0,1.13 G
2019-06-05 04:45:08,45.0,1.13 G
2019-06-05 04:45:10,51.0,1.13 G
2019-06-05 04:45:12,42.9,1.13 G
