queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,query_728.rq,2903,1,1,227,238754637,0,3097,189028,240559
2,query_7226.rq,47,1,1,298,314346783,0,870,145121,212063
3,query_7258.rq,48,1,1,157,164908755,0,107,73743,32
4,query_7240.rq,40,2,2,66,71668909,0,313,189350,3635
5,query_7262.rq,42,2,2,342,360171301,0,170,182058,3
6,query_7263.rq,56,1,1,86,91948974,0,572,62824,0
7,query_7311.rq,46,1,1,3,3811081,0,153,7565,341
8,query_7302.rq,51,1,1,10,10503520,0,106,10102,174
9,query_7298.rq,52,1,1,161,169310226,0,961,77012,2469
10,query_7271.rq,53,2,2,91,98048619,0,317,56154,1116
11,query_7272.rq,53,1,1,147,155440300,0,150,75439,0
12,query_7255.rq,55,1,1,184,193880347,0,134,89697,2
13,query_7317.rq,76,1,1,4,5165914,0,158,9520,65687
14,query_7307.rq,60,1,1,88,94161630,0,94,46155,101
15,query_7252.rq,64,1,1,14,15598788,0,1193,13081,0
16,query_7249.rq,59,1,1,8,8824150,0,499,146962,2497
17,query_7349.rq,61,1,1,8,8824150,0,122,79624,10022
18,query_7267.rq,61,1,1,51,54474843,0,170,28033,5
19,query_7340.rq,64,1,1,51,54474843,0,964,28761,5
20,query_71.rq,59,0,0,0,0,0,59,139,1
21,query_7338.rq,112,1,1,227,238754637,0,1360,149658,21
22,query_7210.rq,60,1,1,227,238754637,0,573,174804,239324
23,query_7228.rq,63,0,0,0,0,0,158,183,0
24,query_7204.rq,111,2,2,207,219659708,0,276,131053,3675
25,query_734.rq,94,1,1,79,84362532,0,1289,47372,39
26,query_7327.rq,66,1,1,10,10503520,0,161,12927,209
27,query_7198.rq,66,2,2,91,98048619,0,611,53699,1093
28,query_7290.rq,69,1,1,378,397757239,0,121,178341,39541
29,query_7221.rq,71,1,1,41,43659722,0,167,74496,1911
30,query_7236.rq,72,1,1,227,238754637,0,1081,113483,0
31,query_7345.rq,71,1,1,163,171731214,0,130,80746,96493
32,query_7310.rq,78,1,1,4,5737120,0,1606,11626,10
33,query_7284.rq,75,1,1,146,154982427,0,830,99467,292731
34,query_7335.rq,77,1,1,4,5564982,0,784,8668,2056
35,query_7336.rq,77,1,1,14,15690563,0,1239,308080,12430
36,query_7199.rq,80,1,1,48,51093422,0,188,26854,15
37,query_7283.rq,79,0,0,0,0,0,80,92,0
38,query_7324.rq,83,1,1,110,116215622,0,115,91616,981744
39,query_7282.rq,117,1,1,14,15690563,0,3624,310678,5937
40,query_7289.rq,84,0,0,0,0,0,84,203,1
41,query_7202.rq,128,1,1,7,8635993,0,229,9961,16125
42,query_7181.rq,87,2,2,207,219659708,0,254,102941,3634
43,query_7216.rq,96,2,2,125,132704979,0,1557,221475,4735
44,query_7273.rq,90,1,1,14,15598788,0,798,12709,0
45,query_7230.rq,96,1,1,12,12958340,0,640,221987,242
46,query_7295.rq,104,2,2,342,360171301,0,515,163772,1
47,query_7257.rq,100,3,3,457,482984348,0,421,242930,5537
48,query_7179.rq,113,1,1,157,164908755,0,212,100932,25
49,query_7211.rq,108,1,1,148,156223029,0,1245,72258,1
50,query_7293.rq,112,1,1,227,238754637,0,992,118244,15
51,query_7261.rq,107,1,1,144,151677551,0,141,90680,749447
52,query_7250.rq,109,1,1,161,169310226,0,1153,80232,2469
53,query_7191.rq,117,1,1,67,70852680,0,709,35641,0
54,query_725.rq,115,1,1,3,4855482,0,1660,65047,3784
55,query_7253.rq,114,1,1,184,193880347,0,328,86719,2
56,query_7328.rq,122,2,2,169,179276673,0,331,87340,33841
57,query_722.rq,123,0,0,0,0,0,3155,3359,0
58,query_7285.rq,118,2,2,91,98048619,0,2473,62872,1054
59,query_727.rq,115,1,1,163,171731214,0,448,105828,517726
60,query_7193.rq,117,1,1,2,2816917,0,1402,14424,395
61,query_7222.rq,119,1,1,2,2413048,0,2203,178549,10807
62,query_7277.rq,120,1,1,25,27270063,0,180,18247,2
63,query_7312.rq,148,0,0,0,0,0,244,260,0
64,query_7233.rq,147,1,1,21,22668750,0,200,15304,977
65,query_7343.rq,124,2,2,169,179276673,0,338,92371,101619
66,query_7264.rq,130,1,1,157,164908755,0,167,77615,28
67,query_724.rq,136,1,1,202,212288304,0,192,93094,0
68,query_7323.rq,125,1,1,14,15690563,0,4198,315921,1305
69,query_7300.rq,133,1,1,162,171495507,0,1054,80957,104640
70,query_7348.rq,131,1,1,5,6588691,0,230,11993,62910
71,query_7187.rq,132,1,1,320,336944250,0,186,198638,2307992
72,query_7200.rq,142,1,1,115,121916874,0,241,57381,47651
73,query_732.rq,142,1,1,162,171495507,0,212,119874,1406128
74,query_7256.rq,134,1,1,4,5737120,0,296,17768,442
75,query_10174.rq,144,3,3,400,422869980,0,1529,202469,0
76,query_7251.rq,152,1,1,74,79286712,0,916,57989,622929
77,query_7208.rq,154,1,1,79,84362532,0,456,45697,102103
78,query_7326.rq,158,1,1,320,336944250,0,213,199702,2301062
79,query_7306.rq,148,1,1,227,238754637,0,1108,109585,6
80,query_7244.rq,146,1,1,163,171731214,0,320,113460,247984
81,query_7265.rq,150,1,1,10,10503520,0,231,10014,203
82,query_7281.rq,162,1,1,298,314346783,0,249,144771,0
83,query_1979.rq,153,1,1,407,427619706,0,1244,236089,2
84,query_7332.rq,153,2,2,207,219659708,0,334,104497,3671
85,query_7331.rq,157,1,1,202,212288304,0,225,130938,1
86,query_7241.rq,160,0,0,0,0,0,352,364,0
87,query_9424.rq,199,2,2,207,219659708,0,360,146334,3735
88,query_7339.rq,175,1,1,5,6588691,0,1248,12919,62910
89,query_7309.rq,175,1,1,372,391113535,0,1741,169367,181
90,query_7217.rq,177,0,0,0,0,0,1505,1600,0
91,query_729.rq,203,1,1,153,162241185,0,629,73819,13
92,query_7287.rq,195,1,1,5,6588691,0,285,12021,62910
93,query_7337.rq,185,2,2,458,483062509,0,662,312997,0
94,query_7238.rq,192,2,2,125,132704979,0,443,312246,5740
95,query_7308.rq,211,1,1,66,70302301,0,475,307821,14936
96,query_7266.rq,213,3,3,457,482984348,0,1307,314271,1736
97,query_717.rq,207,1,1,86,91948974,0,838,48511,0
98,query_7186.rq,217,1,1,173,182697037,0,1381,102379,0
99,query_7195.rq,223,1,1,74,79286712,0,553,58692,425015
