2019-06-15 12:22:44,8.82 G,54.73 G,430.84 K,1.86 M
2019-06-15 12:22:48,8.83 G,54.74 G,463.79 K,2.15 M
2019-06-15 12:22:50,8.83 G,54.74 G,470.74 K,2.18 M
2019-06-15 12:22:52,8.83 G,54.75 G,467.42 K,2.17 M
2019-06-15 12:22:55,8.83 G,54.75 G,432.02 K,2.02 M
2019-06-15 12:22:57,8.83 G,54.75 G,497.39 K,2.14 M
2019-06-15 12:22:59,8.83 G,54.76 G,505.11 K,2.15 M
2019-06-15 12:23:01,8.83 G,54.76 G,512.67 K,2.20 M
2019-06-15 12:23:03,8.83 G,54.77 G,514.25 K,2.21 M
2019-06-15 12:23:05,8.83 G,54.77 G,502.83 K,2.16 M
2019-06-15 12:23:07,8.83 G,54.78 G,503.98 K,2.16 M
2019-06-15 12:23:09,8.84 G,54.78 G,509.01 K,2.19 M
2019-06-15 12:23:11,8.84 G,54.78 G,517.82 K,2.21 M
2019-06-15 12:23:13,8.84 G,54.79 G,502.42 K,2.15 M
2019-06-15 12:23:15,8.84 G,54.79 G,493.69 K,2.11 M
2019-06-15 12:23:17,8.84 G,54.80 G,500.93 K,2.15 M
2019-06-15 12:23:19,8.84 G,54.80 G,502.33 K,2.16 M
2019-06-15 12:23:21,8.84 G,54.81 G,425.53 K,1.82 M
2019-06-15 12:23:25,8.84 G,54.81 G,470.34 K,2.17 M
2019-06-15 12:23:27,8.84 G,54.81 G,469.63 K,2.17 M
2019-06-15 12:23:29,8.84 G,54.82 G,480.64 K,2.22 M
2019-06-15 12:23:31,8.84 G,54.82 G,467.58 K,2.18 M
2019-06-15 12:23:33,8.85 G,54.83 G,475.53 K,2.19 M
2019-06-15 12:23:35,8.85 G,54.83 G,480.65 K,2.23 M
2019-06-15 12:23:37,8.85 G,54.83 G,475.40 K,2.20 M
2019-06-15 12:23:39,8.85 G,54.84 G,466.38 K,2.17 M
2019-06-15 12:23:41,8.85 G,54.84 G,471.37 K,2.17 M
2019-06-15 12:23:43,8.85 G,54.85 G,476.14 K,2.20 M
2019-06-15 12:23:45,8.85 G,54.85 G,469.07 K,2.17 M
2019-06-15 12:23:47,8.85 G,54.86 G,481.01 K,2.22 M
2019-06-15 12:23:49,8.85 G,54.86 G,473.18 K,2.18 M
2019-06-15 12:23:51,8.85 G,54.86 G,355.90 K,1.64 M
2019-06-15 12:23:55,8.85 G,54.87 G,495.68 K,2.23 M
2019-06-15 12:23:57,8.86 G,54.87 G,500.55 K,2.25 M
2019-06-15 12:23:59,8.86 G,54.88 G,503.08 K,2.26 M
2019-06-15 12:24:01,8.86 G,54.88 G,427.71 K,1.93 M
2019-06-15 12:24:03,8.86 G,54.88 G,443.47 K,1.90 M
