queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,query_10114.rq,2474,1,1,31,33926832,0,3771,40665,0
2,query_1587.rq,68,1,1,31,33926832,0,192,24794,26
3,query_3598.rq,42,1,1,29,32041960,0,132,27198,227940
4,query_9405.rq,27,1,1,14,15614004,0,115,17422,140199
5,query_3864.rq,31,1,1,10,10614562,0,113,15661,126516
6,query_9909.rq,27,1,1,14,15570273,0,175,13036,51302
7,query_3842.rq,32,1,1,7,7458138,0,70,9147,62105
8,query_9389.rq,30,1,1,10,10614562,0,108,15700,126516
9,query_10148.rq,31,1,1,9,10265428,0,66,11336,146996
10,query_9410.rq,32,1,1,5,6620131,0,395,10518,36225
11,query_10027.rq,33,1,1,65,69616756,0,184,67188,283797
12,query_9903.rq,35,1,1,29,32041960,0,106,27915,231254
13,query_4128.rq,35,1,1,17,18694647,0,148,17504,63420
14,query_9432.rq,38,1,1,9,10265428,0,73,10627,97273
15,query_11543.rq,39,1,1,31,33926832,0,133,23645,26
16,query_4166.rq,40,1,1,13,14182578,0,94,17661,225094
17,query_3705.rq,44,1,1,9,10265428,0,74,10363,98624
18,query_9379.rq,42,1,1,9,10265428,0,73,10412,97273
19,query_9433.rq,44,1,1,6,7692817,0,212,9403,45411
20,query_1582.rq,44,1,1,14,15614004,0,107,16938,140199
21,query_4146.rq,42,2,2,20,23306821,0,268,21432,28167
22,query_10022.rq,43,1,1,14,15570273,0,115,12732,51302
23,query_1536.rq,43,2,2,28,31184277,0,106,26251,56210
24,query_10166.rq,44,1,1,16,17307022,0,108,15505,1
25,query_10004.rq,43,1,1,16,17307022,0,132,13629,1
26,query_9334.rq,45,1,1,5,6535256,0,162,8031,0
27,query_1542.rq,45,1,1,65,69616756,0,196,76378,283797
28,query_4075.rq,46,1,1,14,15570273,0,115,13600,90045
29,query_4112.rq,43,1,1,6,7692817,0,318,11122,45411
30,query_10123.rq,44,1,1,31,33926832,0,141,22466,26
31,query_10105.rq,45,1,1,65,69616756,0,194,58869,283797
32,query_1479.rq,45,1,1,65,69616756,0,182,60470,283797
33,query_3771.rq,50,1,1,9,10265428,0,87,10406,98014
34,query_3859.rq,48,1,1,12,14306627,0,127,10831,0
35,query_10084.rq,53,1,1,65,69616756,0,186,46672,94099
36,query_10120.rq,50,1,1,9,10265428,0,87,11564,146996
37,query_9352.rq,55,1,1,7,7458138,0,90,9315,62105
38,query_4149.rq,53,1,1,29,32041960,0,122,24095,231955
39,query_9306.rq,58,1,1,7,7458138,0,93,8767,42461
40,query_1603.rq,59,1,1,31,33926832,0,152,19933,26
41,query_10158.rq,57,2,2,11,13117048,0,217,15217,33192
42,query_1585.rq,62,1,1,13,14182578,0,98,17157,225094
43,query_160.rq,60,1,1,0,1011005,0,226,11578,139951
44,query_4124.rq,63,1,1,29,32041960,0,121,23041,225843
45,query_10109.rq,62,1,1,10,10614562,0,128,15707,126516
46,query_10159.rq,64,1,1,5,6620131,0,409,10219,36225
47,query_2200.rq,62,1,1,7,7458138,0,96,8761,42461
48,query_1600.rq,64,1,1,31,33926832,0,163,20173,26
49,query_4107.rq,65,1,1,31,33926832,0,159,19002,26
50,query_3856.rq,67,1,1,9,10265428,0,100,11300,146996
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
53,53,1022,1124973282,11233,1036769
