queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,query_10114.rq,2524,1,1,31,33926832,0,3805,30378,0
2,query_1587.rq,48,1,1,31,33926832,0,190,26324,26
3,query_3598.rq,34,1,1,29,32041960,0,97,29743,227940
4,query_9405.rq,28,1,1,14,15614004,0,96,18156,140199
5,query_3864.rq,28,1,1,10,10614562,0,106,15768,126516
6,query_9909.rq,28,1,1,14,15570273,0,93,13456,51302
7,query_3842.rq,30,1,1,7,7458138,0,67,9192,62105
8,query_9389.rq,30,1,1,10,10614562,0,104,15808,126516
9,query_10148.rq,32,1,1,9,10265428,0,64,11562,146996
10,query_9410.rq,56,1,1,5,6620131,0,396,10370,36225
11,query_10027.rq,34,1,1,65,69616756,0,129,68124,283797
12,query_9903.rq,37,1,1,29,32041960,0,89,27904,231254
13,query_4128.rq,36,1,1,17,18694647,0,111,17758,63420
14,query_9432.rq,41,1,1,9,10265428,0,74,10683,97273
15,query_11543.rq,39,1,1,31,33926832,0,111,23827,26
16,query_4166.rq,40,1,1,13,14182578,0,82,17566,225094
17,query_3705.rq,42,1,1,9,10265428,0,78,10496,98624
18,query_9379.rq,45,1,1,9,10265428,0,78,10458,97273
19,query_9433.rq,44,1,1,6,7692817,0,220,9603,45411
20,query_1582.rq,43,1,1,14,15614004,0,92,16994,140199
21,query_4146.rq,45,2,2,20,23306821,0,206,21334,28167
22,query_10022.rq,43,1,1,14,15570273,0,106,12585,51302
23,query_1536.rq,47,2,2,28,31184277,0,105,26016,56210
24,query_10166.rq,48,1,1,16,17307022,0,114,12012,1
25,query_10004.rq,45,1,1,16,17307022,0,113,11677,1
26,query_9334.rq,72,1,1,5,6535256,0,188,7172,0
27,query_1542.rq,51,1,1,65,69616756,0,138,65894,283797
28,query_4075.rq,45,1,1,14,15570273,0,108,13397,90045
29,query_4112.rq,44,1,1,6,7692817,0,216,9691,45411
30,query_10123.rq,46,1,1,31,33926832,0,119,21664,26
31,query_10105.rq,46,1,1,65,69616756,0,178,63768,283797
32,query_1479.rq,49,1,1,65,69616756,0,148,62090,283797
33,query_3771.rq,51,1,1,9,10265428,0,89,10336,98014
34,query_3859.rq,49,1,1,12,14306627,0,126,10383,0
35,query_10084.rq,51,1,1,65,69616756,0,170,47529,94099
36,query_10120.rq,53,1,1,9,10265428,0,90,11437,146996
37,query_9352.rq,53,1,1,7,7458138,0,89,9284,62105
38,query_4149.rq,56,1,1,29,32041960,0,101,23777,231955
39,query_9306.rq,60,1,1,7,7458138,0,97,8847,42461
40,query_1603.rq,59,1,1,31,33926832,0,122,19099,26
41,query_10158.rq,61,2,2,11,13117048,0,266,16195,33192
42,query_1585.rq,60,1,1,13,14182578,0,95,17072,225094
43,query_160.rq,61,1,1,0,1011005,0,227,11654,139951
44,query_4124.rq,67,1,1,29,32041960,0,109,23048,225843
45,query_10109.rq,69,1,1,10,10614562,0,150,15564,126516
46,query_10159.rq,68,1,1,5,6620131,0,380,10141,36225
47,query_2200.rq,69,1,1,7,7458138,0,104,8888,42461
48,query_1600.rq,67,1,1,31,33926832,0,132,18998,26
49,query_4107.rq,71,1,1,31,33926832,0,162,25956,26
50,query_3856.rq,68,1,1,9,10265428,0,115,11928,146996
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
53,53,1022,1124973282,11860,1026921
