2019-06-07 23:09:31,28.92 M,1.12 G,8.37 K,231.43 K
2019-06-07 23:09:33,28.92 M,1.12 G,0.00 B,0.00 B
2019-06-07 23:09:35,28.95 M,1.12 G,29.63 K,2.07 M
2019-06-07 23:09:37,28.95 M,1.12 G,0.00 B,0.00 B
2019-06-07 23:09:39,29.01 M,1.12 G,32.11 K,1.00 M
2019-06-07 23:09:41,29.01 M,1.12 G,0.00 B,0.00 B
2019-06-07 23:09:43,29.01 M,1.12 G,42.00 B,60.00 B
2019-06-07 23:09:45,29.01 M,1.12 G,0.00 B,0.00 B
2019-06-07 23:09:47,29.01 M,1.12 G,0.00 B,0.00 B
2019-06-07 23:09:49,29.03 M,1.13 G,13.81 K,951.62 K
2019-06-07 23:09:51,29.03 M,1.13 G,2.15 K,39.09 K
2019-06-07 23:09:53,29.07 M,1.13 G,7.35 K,673.56 K
2019-06-07 23:09:55,29.09 M,1.13 G,24.25 K,787.63 K
2019-06-07 23:09:57,29.11 M,1.13 G,0.00 B,0.00 B
2019-06-07 23:09:59,29.11 M,1.13 G,0.00 B,0.00 B
2019-06-07 23:10:01,29.15 M,1.13 G,39.00 K,1.69 M
2019-06-07 23:10:03,29.15 M,1.13 G,0.00 B,60.00 B
2019-06-07 23:10:05,29.15 M,1.13 G,0.00 B,0.00 B
2019-06-07 23:10:07,29.25 M,1.13 G,91.26 K,1.91 M
2019-06-07 23:10:09,29.33 M,1.14 G,204.00 B,138.00 B
2019-06-07 23:10:11,29.37 M,1.14 G,39.20 K,1010.44 K
2019-06-07 23:10:13,29.44 M,1.14 G,0.00 B,0.00 B
2019-06-07 23:10:15,29.44 M,1.14 G,4.00 K,157.37 K
2019-06-07 23:10:17,29.46 M,1.14 G,13.49 K,492.40 K
2019-06-07 23:10:19,29.57 M,1.14 G,89.13 K,2.00 M
2019-06-07 23:10:21,29.64 M,1.14 G,0.00 B,0.00 B
2019-06-07 23:10:23,29.64 M,1.14 G,0.00 B,0.00 B
2019-06-07 23:10:25,29.65 M,1.14 G,5.07 K,166.61 K
2019-06-07 23:10:27,29.65 M,1.14 G,0.00 B,0.00 B
2019-06-07 23:10:29,29.67 M,1.15 G,0.00 B,0.00 B
2019-06-07 23:10:31,29.68 M,1.15 G,13.36 K,951.69 K
2019-06-07 23:10:33,29.69 M,1.15 G,10.90 K,362.56 K
2019-06-07 23:10:35,29.69 M,1.15 G,0.00 B,0.00 B
2019-06-07 23:10:37,29.71 M,1.15 G,0.00 B,0.00 B
2019-06-07 23:10:39,29.72 M,1.15 G,6.03 K,192.80 K
2019-06-07 23:10:41,29.72 M,1.15 G,1.71 K,28.05 K
2019-06-07 23:10:43,29.72 M,1.15 G,42.00 B,60.00 B
2019-06-07 23:10:45,29.73 M,1.15 G,0.00 B,0.00 B
2019-06-07 23:10:47,29.74 M,1.15 G,11.65 K,661.14 K
2019-06-07 23:10:50,29.74 M,1.15 G,0.00 B,0.00 B
2019-06-07 23:10:52,29.81 M,1.15 G,26.71 K,2.41 M
2019-06-07 23:10:54,29.82 M,1.15 G,0.00 B,0.00 B
2019-06-07 23:10:56,29.82 M,1.15 G,0.00 B,0.00 B
2019-06-07 23:10:58,29.82 M,1.15 G,0.00 B,0.00 B
2019-06-07 23:11:00,29.84 M,1.16 G,22.04 K,1.55 M
2019-06-07 23:11:02,29.84 M,1.16 G,0.00 B,0.00 B
2019-06-07 23:11:04,29.90 M,1.16 G,38.86 K,1.95 M
2019-06-07 23:11:06,29.90 M,1.16 G,0.00 B,0.00 B
2019-06-07 23:11:08,29.90 M,1.16 G,0.00 B,0.00 B
2019-06-07 23:11:10,29.92 M,1.16 G,0.00 B,0.00 B
2019-06-07 23:11:12,29.95 M,1.16 G,35.72 K,1.55 M
2019-06-07 23:11:14,29.98 M,1.16 G,2.19 K,206.14 K
2019-06-07 23:11:16,29.98 M,1.16 G,42.00 B,60.00 B
2019-06-07 23:11:18,29.99 M,1.16 G,9.30 K,275.75 K
2019-06-07 23:11:20,30.04 M,1.16 G,0.00 B,0.00 B
2019-06-07 23:11:22,30.06 M,1.17 G,12.65 K,1.10 M
2019-06-07 23:11:24,30.07 M,1.17 G,8.98 K,285.04 K
2019-06-07 23:11:26,30.14 M,1.17 G,28.91 K,2.37 M
2019-06-07 23:11:28,30.14 M,1.17 G,0.00 B,0.00 B
2019-06-07 23:11:30,30.14 M,1.17 G,0.00 B,0.00 B
2019-06-07 23:11:32,30.14 M,1.17 G,132.00 B,66.00 B
2019-06-07 23:11:34,30.17 M,1.17 G,32.52 K,2.39 M
2019-06-07 23:11:36,30.18 M,1.17 G,0.00 B,0.00 B
2019-06-07 23:11:38,30.19 M,1.17 G,2.41 K,202.66 K
