2019-06-10 23:09:51,4.26 G,91.33 G,2.10 K,58.68 K
2019-06-10 23:09:53,4.26 G,91.33 G,0.00 B,1.20 K
2019-06-10 23:09:55,4.26 G,91.33 G,29.66 K,847.43 K
2019-06-10 23:09:57,4.26 G,91.33 G,44.69 K,2.05 M
2019-06-10 23:09:59,4.26 G,91.33 G,0.00 B,1.01 K
2019-06-10 23:10:01,4.26 G,91.33 G,0.00 B,756.00 B
2019-06-10 23:10:03,4.26 G,91.33 G,0.00 B,324.00 B
2019-06-10 23:10:05,4.26 G,91.33 G,14.12 K,391.81 K
2019-06-10 23:10:07,4.26 G,91.34 G,51.18 K,2.40 M
2019-06-10 23:10:09,4.26 G,91.34 G,52.18 K,2.42 M
2019-06-10 23:10:11,4.26 G,91.35 G,50.14 K,2.33 M
2019-06-10 23:10:13,4.26 G,91.35 G,0.00 B,1.98 K
2019-06-10 23:10:15,4.26 G,91.35 G,0.00 B,1.56 K
2019-06-10 23:10:17,4.26 G,91.35 G,0.00 B,708.00 B
2019-06-10 23:10:19,4.26 G,91.35 G,52.21 K,2.32 M
2019-06-10 23:10:21,4.26 G,91.36 G,53.95 K,2.42 M
2019-06-10 23:10:23,4.26 G,91.36 G,53.56 K,2.42 M
2019-06-10 23:10:25,4.26 G,91.36 G,52.53 K,2.42 M
2019-06-10 23:10:27,4.26 G,91.37 G,53.24 K,2.42 M
2019-06-10 23:10:29,4.26 G,91.37 G,52.21 K,2.40 M
2019-06-10 23:10:31,4.26 G,91.38 G,52.85 K,2.42 M
2019-06-10 23:10:33,4.26 G,91.38 G,53.24 K,2.42 M
2019-06-10 23:10:35,4.26 G,91.39 G,52.27 K,2.41 M
2019-06-10 23:10:37,4.26 G,91.39 G,51.88 K,2.41 M
2019-06-10 23:10:39,4.26 G,91.40 G,52.27 K,2.32 M
2019-06-10 23:10:41,4.26 G,91.40 G,53.24 K,2.31 M
2019-06-10 23:10:43,4.26 G,91.41 G,58.72 K,2.64 M
2019-06-10 23:10:45,4.26 G,91.41 G,52.85 K,2.40 M
2019-06-10 23:10:47,4.26 G,91.42 G,53.88 K,2.42 M
2019-06-10 23:10:49,4.26 G,91.42 G,53.43 K,2.40 M
2019-06-10 23:10:51,4.26 G,91.43 G,53.62 K,2.42 M
2019-06-10 23:10:53,4.26 G,91.43 G,52.66 K,2.41 M
2019-06-10 23:10:55,4.26 G,91.44 G,52.79 K,2.40 M
2019-06-10 23:10:57,4.26 G,91.44 G,52.79 K,2.42 M
2019-06-10 23:10:59,4.26 G,91.44 G,53.30 K,2.43 M
2019-06-10 23:11:01,4.26 G,91.45 G,52.98 K,2.42 M
2019-06-10 23:11:03,4.26 G,91.45 G,52.92 K,2.42 M
2019-06-10 23:11:05,4.26 G,91.46 G,53.43 K,2.42 M
2019-06-10 23:11:07,4.26 G,91.46 G,53.63 K,2.43 M
2019-06-10 23:11:09,4.26 G,91.47 G,52.72 K,2.42 M
2019-06-10 23:11:11,4.26 G,91.47 G,53.24 K,2.42 M
2019-06-10 23:11:13,4.26 G,91.48 G,52.80 K,2.42 M
2019-06-10 23:11:15,4.26 G,91.48 G,53.04 K,2.40 M
2019-06-10 23:11:17,4.26 G,91.49 G,53.09 K,2.41 M
2019-06-10 23:11:19,4.26 G,91.49 G,53.69 K,2.42 M
2019-06-10 23:11:21,4.26 G,91.50 G,53.50 K,2.42 M
2019-06-10 23:11:23,4.26 G,91.50 G,53.62 K,2.41 M
2019-06-10 23:11:25,4.26 G,91.51 G,52.79 K,2.42 M
2019-06-10 23:11:27,4.26 G,91.51 G,52.72 K,2.41 M
2019-06-10 23:11:29,4.27 G,91.52 G,51.18 K,2.32 M
2019-06-10 23:11:31,4.27 G,91.52 G,47.95 K,2.11 M
2019-06-10 23:11:33,4.27 G,91.52 G,48.66 K,2.25 M
2019-06-10 23:11:35,4.27 G,91.53 G,51.82 K,2.37 M
2019-06-10 23:11:37,4.27 G,91.53 G,53.24 K,2.41 M
2019-06-10 23:11:39,4.27 G,91.54 G,54.01 K,2.48 M
2019-06-10 23:11:41,4.27 G,91.54 G,52.01 K,2.38 M
2019-06-10 23:11:43,4.27 G,91.55 G,48.66 K,2.36 M
2019-06-10 23:11:45,4.27 G,91.55 G,51.82 K,2.38 M
2019-06-10 23:11:47,4.27 G,91.56 G,49.27 K,1.92 M
2019-06-10 23:11:49,4.27 G,91.56 G,47.50 K,2.18 M
2019-06-10 23:11:51,4.27 G,91.57 G,48.02 K,2.20 M
2019-06-10 23:11:53,4.27 G,91.57 G,45.44 K,2.08 M
2019-06-10 23:11:55,4.27 G,91.57 G,48.92 K,2.24 M
2019-06-10 23:11:57,4.27 G,91.58 G,52.34 K,2.41 M
2019-06-10 23:11:59,4.27 G,91.58 G,52.79 K,2.42 M
2019-06-10 23:12:01,4.27 G,91.59 G,52.72 K,2.42 M
2019-06-10 23:12:03,4.27 G,91.59 G,51.38 K,1.97 M
2019-06-10 23:12:05,4.27 G,91.60 G,51.88 K,2.38 M
2019-06-10 23:12:07,4.27 G,91.60 G,54.53 K,2.50 M
2019-06-10 23:12:09,4.27 G,91.61 G,52.54 K,2.40 M
2019-06-10 23:12:11,4.27 G,91.61 G,52.40 K,2.40 M
2019-06-10 23:12:13,4.27 G,91.62 G,54.86 K,2.08 M
2019-06-10 23:12:15,4.27 G,91.62 G,52.63 K,2.41 M
2019-06-10 23:12:17,4.27 G,91.62 G,51.56 K,2.36 M
2019-06-10 23:12:19,4.27 G,91.63 G,52.46 K,2.40 M
2019-06-10 23:12:21,4.27 G,91.63 G,52.59 K,2.41 M
2019-06-10 23:12:23,4.27 G,91.64 G,49.31 K,2.31 M
2019-06-10 23:12:25,4.27 G,91.64 G,55.00 K,1.85 M
2019-06-10 23:12:27,4.27 G,91.65 G,44.99 K,2.06 M
2019-06-10 23:12:29,4.27 G,91.65 G,43.57 K,1.99 M
2019-06-10 23:12:31,4.27 G,91.66 G,49.95 K,2.28 M
2019-06-10 23:12:33,4.27 G,91.66 G,51.76 K,2.37 M
2019-06-10 23:12:35,4.27 G,91.66 G,41.71 K,1.83 M
2019-06-10 23:12:37,4.27 G,91.67 G,50.92 K,2.45 M
2019-06-10 23:12:39,4.27 G,91.67 G,46.21 K,2.41 M
2019-06-10 23:12:41,4.27 G,91.68 G,46.28 K,2.43 M
2019-06-10 23:12:44,4.27 G,91.68 G,49.03 K,2.40 M
2019-06-10 23:12:46,4.27 G,91.69 G,47.70 K,2.41 M
2019-06-10 23:12:48,4.27 G,91.69 G,52.01 K,2.51 M
2019-06-10 23:12:50,4.27 G,91.70 G,51.56 K,2.42 M
2019-06-10 23:12:52,4.27 G,91.70 G,53.37 K,2.41 M
2019-06-10 23:12:54,4.27 G,91.71 G,50.85 K,2.42 M
2019-06-10 23:12:56,4.27 G,91.71 G,51.50 K,2.43 M
2019-06-10 23:12:58,4.27 G,91.72 G,51.18 K,2.42 M
2019-06-10 23:13:00,4.27 G,91.72 G,52.72 K,2.43 M
2019-06-10 23:13:02,4.27 G,91.72 G,50.29 K,2.30 M
2019-06-10 23:13:04,4.27 G,91.73 G,52.59 K,2.42 M
2019-06-10 23:13:06,4.27 G,91.73 G,53.69 K,2.42 M
2019-06-10 23:13:08,4.27 G,91.74 G,53.62 K,2.41 M
2019-06-10 23:13:10,4.27 G,91.74 G,53.69 K,2.41 M
2019-06-10 23:13:12,4.27 G,91.75 G,52.34 K,2.40 M
2019-06-10 23:13:14,4.27 G,91.75 G,52.51 K,2.41 M
2019-06-10 23:13:16,4.27 G,91.76 G,52.42 K,2.42 M
2019-06-10 23:13:18,4.27 G,91.76 G,52.53 K,2.42 M
2019-06-10 23:13:20,4.27 G,91.76 G,0.00 B,720.00 B
2019-06-10 23:13:22,4.27 G,91.76 G,0.00 B,828.00 B
2019-06-10 23:13:24,4.27 G,91.76 G,0.00 B,756.00 B
2019-06-10 23:13:26,4.27 G,91.77 G,50.93 K,2.25 M
2019-06-10 23:13:28,4.27 G,91.77 G,52.59 K,2.43 M
2019-06-10 23:13:30,4.27 G,91.78 G,52.79 K,2.42 M
2019-06-10 23:13:32,4.27 G,91.78 G,52.40 K,2.43 M
2019-06-10 23:13:34,4.27 G,91.79 G,53.04 K,2.44 M
2019-06-10 23:13:36,4.27 G,91.79 G,49.76 K,2.43 M
2019-06-10 23:13:38,4.27 G,91.80 G,50.92 K,2.43 M
2019-06-10 23:13:40,4.27 G,91.80 G,51.37 K,2.44 M
2019-06-10 23:13:42,4.27 G,91.81 G,52.01 K,2.42 M
2019-06-10 23:13:44,4.27 G,91.81 G,50.60 K,2.43 M
2019-06-10 23:13:46,4.27 G,91.81 G,50.79 K,2.43 M
2019-06-10 23:13:48,4.27 G,91.82 G,52.01 K,2.43 M
