2019-06-14 22:43:19,16.67 G,244.52 G,0.00 B,984.00 B
2019-06-14 22:43:21,16.67 G,244.52 G,22.41 K,973.39 K
2019-06-14 22:43:23,16.67 G,244.52 G,0.00 B,1.12 K
2019-06-14 22:43:25,16.67 G,244.52 G,0.00 B,519.00 B
2019-06-14 22:43:27,16.67 G,244.52 G,27.33 K,2.42 M
2019-06-14 22:43:29,16.67 G,244.53 G,28.06 K,2.42 M
2019-06-14 22:43:31,16.67 G,244.53 G,24.94 K,2.42 M
2019-06-14 22:43:33,16.67 G,244.54 G,4.12 K,392.69 K
2019-06-14 22:43:35,16.67 G,244.54 G,0.00 B,432.00 B
2019-06-14 22:43:37,16.67 G,244.54 G,14.97 K,1.03 M
2019-06-14 22:43:39,16.67 G,244.54 G,24.94 K,2.42 M
2019-06-14 22:43:41,16.67 G,244.55 G,25.65 K,2.42 M
2019-06-14 22:43:43,16.67 G,244.55 G,27.11 K,2.41 M
2019-06-14 22:43:45,16.67 G,244.56 G,25.33 K,2.41 M
2019-06-14 22:43:47,16.67 G,244.56 G,22.49 K,2.42 M
2019-06-14 22:43:49,16.67 G,244.56 G,24.81 K,2.40 M
2019-06-14 22:43:51,16.67 G,244.56 G,0.00 B,600.00 B
2019-06-14 22:43:53,16.67 G,244.56 G,0.00 B,552.00 B
2019-06-14 22:43:55,16.67 G,244.57 G,35.72 K,2.27 M
2019-06-14 22:43:57,16.67 G,244.57 G,28.23 K,2.43 M
2019-06-14 22:43:59,16.67 G,244.58 G,28.68 K,2.42 M
2019-06-14 22:44:01,16.67 G,244.58 G,26.95 K,2.40 M
2019-06-14 22:44:03,16.67 G,244.59 G,26.95 K,2.03 M
2019-06-14 22:44:05,16.67 G,244.59 G,193.00 B,669.00 B
2019-06-14 22:44:07,16.67 G,244.59 G,0.00 B,1.44 K
2019-06-14 22:44:09,16.67 G,244.59 G,0.00 B,120.00 B
2019-06-14 22:44:11,16.67 G,244.59 G,0.00 B,806.00 B
2019-06-14 22:44:13,16.67 G,244.59 G,27.39 K,2.41 M
2019-06-14 22:44:15,16.67 G,244.59 G,28.21 K,2.41 M
2019-06-14 22:44:17,16.67 G,244.60 G,25.91 K,2.41 M
2019-06-14 22:44:19,16.67 G,244.60 G,3.61 K,313.45 K
2019-06-14 22:44:21,16.67 G,244.60 G,0.00 B,768.00 B
2019-06-14 22:44:23,16.67 G,244.60 G,23.14 K,1.50 M
2019-06-14 22:44:25,16.67 G,244.61 G,24.75 K,2.40 M
2019-06-14 22:44:27,16.67 G,244.61 G,26.88 K,2.41 M
2019-06-14 22:44:29,16.67 G,244.62 G,26.94 K,2.41 M
2019-06-14 22:44:31,16.67 G,244.62 G,26.88 K,2.42 M
2019-06-14 22:44:33,16.67 G,244.63 G,24.88 K,2.41 M
2019-06-14 22:44:35,16.67 G,244.63 G,27.33 K,2.41 M
2019-06-14 22:44:37,16.67 G,244.64 G,24.43 K,2.41 M
2019-06-14 22:44:39,16.68 G,244.64 G,23.91 K,2.41 M
2019-06-14 22:44:41,16.68 G,244.65 G,23.59 K,2.41 M
2019-06-14 22:44:43,16.68 G,244.65 G,25.01 K,2.41 M
2019-06-14 22:44:45,16.68 G,244.65 G,23.33 K,2.41 M
2019-06-14 22:44:47,16.68 G,244.66 G,24.69 K,2.40 M
2019-06-14 22:44:49,16.68 G,244.66 G,25.07 K,2.42 M
2019-06-14 22:44:51,16.68 G,244.67 G,25.27 K,2.41 M
2019-06-14 22:44:53,16.68 G,244.67 G,132.00 B,1.53 K
2019-06-14 22:44:55,16.68 G,244.67 G,0.00 B,708.00 B
2019-06-14 22:44:57,16.68 G,244.67 G,132.00 B,390.00 B
2019-06-14 22:44:59,16.68 G,244.67 G,0.00 B,1.48 K
2019-06-14 22:45:01,16.68 G,244.67 G,0.00 B,1008.00 B
2019-06-14 22:45:03,16.68 G,244.67 G,0.00 B,504.00 B
2019-06-14 22:45:05,16.68 G,244.67 G,0.00 B,564.00 B
2019-06-14 22:45:07,16.68 G,244.67 G,0.00 B,624.00 B
2019-06-14 22:45:09,16.68 G,244.67 G,0.00 B,1.02 K
2019-06-14 22:45:11,16.68 G,244.67 G,204.00 B,1.73 K
2019-06-14 22:45:13,16.68 G,244.67 G,42.00 B,780.00 B
2019-06-14 22:45:15,16.68 G,244.67 G,0.00 B,1.07 K
2019-06-14 22:45:18,16.68 G,244.67 G,0.00 B,432.00 B
