query,time,httpCalls,nbResults,errors
query_10027,,0
query_10312,,0
query_10367,127.209,1,0
query_10425,102.617,1,0
query_10448,12.97,1,0
query_10509,5.054,1,0
query_10546,77.742,1,0
query_10553,146.287,1,0
query_10685,27.886,1,0
query_10741,,0
query_10990,0.76,1,0
query_11027,47.058,1,0
query_11043,,0
query_11212,11.441,1,0
query_11222,11.55,1,0
query_11418,38.827,1,0
query_11434,22.31,1,0
query_11497,2.406,1,0
query_11506,2.428,1,0
query_11593,22.655,1,0
query_11701,141.273,1,0
query_11725,25.547,1,0
query_1176,,0
query_11823,7.493,1,0
query_1183,0.173,1,0
query_1192,9.427,1,0
query_12022,11.535,1,0
query_12035,4.387,1,0
query_1226,,0
query_12334,3.058,1,0
query_1247,2.659,1,0
query_1295,159.517,1,0
query_1399,0.682,1,0
query_1405,4.524,1,0
query_1463,7.578,1,0
query_1467,221.88,1,0
query_1495,106.988,1,0
query_1513,16.414,1,0
query_1698,135.925,1,0
query_1744,2.372,1,0
query_1753,1.699,1,0
query_1969,51.146,1,0
query_1992,177.844,1,0
query_2044,0.27,1,0
query_2059,180.651,1,0
query_2157,61.498,1,0
query_2236,157.061,1,0
query_2347,19.634,1,0
query_2374,2.161,1,0
query_2465,83.314,1,0
query_2496,2.493,1,0
query_2546,0.271,1,0
query_2552,,0
query_2559,108.012,1,0
query_25,31.342,1,0
query_2610,134.212,1,0
query_2632,10.15,1,0
query_2826,60.079,1,0
query_2849,,0
query_2879,71.503,1,0
query_3002,0.273,1,0
query_3015,5.497,1,0
query_3100,123.144,1,0
query_3133,88.375,1,0
query_3143,5.369,1,0
query_3175,,0
query_3247,0.095,1,0
query_3312,,0
query_3333,58.941,1,0
query_3345,0.334,1,0
query_335,24.117,1,0
query_3373,5.544,1,0
query_3449,8.848,1,0
query_3606,0.026,1,0
query_3611,0.178,1,0
query_3629,2.286,1,0
query_3701,,0
query_3769,127.071,1,0
query_3824,153.191,1,0
query_3847,,0
query_3957,50.902,1,0
query_4138,88.714,1,0
query_4390,51.009,1,0
query_4448,0.068,1,0
query_4463,2.725,1,0
query_451,116.561,1,0
query_4581,185.458,1,0
query_4654,49.831,1,0
query_4655,168.291,1,0
query_466,90.742,1,0
query_472,102.283,1,0
query_473,19.875,1,0
query_4833,22.813,1,0
query_5146,132.06,1,0
query_5178,64.189,1,0
query_519,58.335,1,0
query_5203,5.526,1,0
query_5294,13.081,1,0
query_5340,0.147,1,0
query_5361,0.813,1,0
query_5370,35.257,1,0
query_538,8.237,1,0
query_5422,36.448,1,0
query_5542,5.119,1,0
query_5766,174.226,1,0
query_5871,45.744,1,0
query_5874,5.067,1,0
query_593,0.109,1,0
query_5965,74.164,1,0
query_596,199.667,1,0
query_5972,,0
query_6022,0.025,1,0
query_6115,82.782,1,0
query_625,0.878,1,0
query_6314,117.159,1,0
query_6348,0.024,1,0
query_6394,5.901,1,0
query_6437,,0
query_6776,2.614,1,0
query_6950,,0
query_698,7.447,1,0
query_6,84.82,1,0
query_7021,0.434,1,0
query_7023,0.121,1,0
query_7072,4.133,1,0
query_7089,0.038,1,0
query_708,2.084,1,0
query_71,0.04,1,0
query_7211,93.34,1,0
query_7419,0.028,1,0
query_743,0.038,1,0
query_7450,5.986,1,0
query_8017,5.45,1,0
query_8085,1.238,1,0
query_8216,1.513,1,0
query_8252,0.152,1,0
query_8337,1.173,1,0
query_8348,43.145,1,0
query_8437,34.436,1,0
query_848,0.023,1,0
query_8568,40.058,1,0
query_8860,18.983,1,0
query_8956,4.296,1,0
query_895,0.81,1,0
query_8979,107.908,1,0
query_9027,13.751,1,0
query_9128,0.447,1,0
query_9161,0.284,1,0
query_9197,3.741,1,0
query_9500,0.024,1,0
query_9546,2.847,1,0
query_9580,66.567,1,0
query_9634,34.249,1,0
query_964,19.458,1,0
query_9835,0.08,1,0
query_9911,4.807,1,0
