2019-06-11 17:18:30,13.65 G,138.34 G,268.00 B,618.00 B
2019-06-11 17:18:33,13.65 G,138.34 G,0.00 B,768.00 B
2019-06-11 17:18:35,13.65 G,138.34 G,9.22 K,380.58 K
2019-06-11 17:18:37,13.65 G,138.34 G,0.00 B,540.00 B
2019-06-11 17:18:39,13.65 G,138.34 G,15.99 K,32.56 K
2019-06-11 17:18:41,13.65 G,138.34 G,0.00 B,1.17 K
2019-06-11 17:18:43,13.65 G,138.34 G,0.00 B,648.00 B
2019-06-11 17:18:45,13.65 G,138.34 G,0.00 B,720.00 B
2019-06-11 17:18:47,13.65 G,138.34 G,42.00 B,780.00 B
2019-06-11 17:18:49,13.65 G,138.34 G,55.00 B,738.00 B
2019-06-11 17:18:51,13.65 G,138.34 G,0.00 B,936.00 B
2019-06-11 17:18:53,13.65 G,138.34 G,0.00 B,780.00 B
2019-06-11 17:18:55,13.65 G,138.34 G,0.00 B,1.18 K
2019-06-11 17:18:57,13.65 G,138.34 G,0.00 B,519.00 B
2019-06-11 17:18:59,13.65 G,138.34 G,55.00 B,726.00 B
2019-06-11 17:19:01,13.65 G,138.34 G,0.00 B,1.76 K
2019-06-11 17:19:03,13.65 G,138.34 G,0.00 B,612.00 B
2019-06-11 17:19:05,13.65 G,138.34 G,0.00 B,720.00 B
2019-06-11 17:19:07,13.65 G,138.34 G,0.00 B,1.11 K
2019-06-11 17:19:09,13.65 G,138.34 G,55.00 B,1.18 K
2019-06-11 17:19:11,13.65 G,138.34 G,0.00 B,768.00 B
2019-06-11 17:19:13,13.65 G,138.34 G,0.00 B,708.00 B
2019-06-11 17:19:15,13.65 G,138.34 G,7.68 K,363.47 K
2019-06-11 17:19:17,13.65 G,138.34 G,42.00 B,504.00 B
2019-06-11 17:19:19,13.65 G,138.34 G,55.00 B,606.00 B
2019-06-11 17:19:21,13.65 G,138.34 G,8.32 K,361.85 K
2019-06-11 17:19:23,13.65 G,138.34 G,0.00 B,708.00 B
2019-06-11 17:19:25,13.65 G,138.34 G,0.00 B,600.00 B
2019-06-11 17:19:27,13.65 G,138.34 G,0.00 B,972.00 B
2019-06-11 17:19:29,13.65 G,138.34 G,559.00 B,1.32 K
2019-06-11 17:19:31,13.65 G,138.34 G,0.00 B,168.00 B
2019-06-11 17:19:33,13.65 G,138.34 G,0.00 B,1.98 K
2019-06-11 17:19:35,13.65 G,138.34 G,0.00 B,600.00 B
2019-06-11 17:19:37,13.65 G,138.34 G,0.00 B,1.07 K
2019-06-11 17:19:39,13.65 G,138.34 G,3.23 K,12.42 K
2019-06-11 17:19:41,13.65 G,138.34 G,0.00 B,1004.00 B
2019-06-11 17:19:43,13.65 G,138.34 G,0.00 B,924.00 B
2019-06-11 17:19:45,13.65 G,138.34 G,0.00 B,840.00 B
2019-06-11 17:19:47,13.65 G,138.34 G,0.00 B,492.00 B
2019-06-11 17:19:49,13.65 G,138.34 G,110.00 B,780.00 B
2019-06-11 17:19:51,13.65 G,138.34 G,0.00 B,708.00 B
2019-06-11 17:19:53,13.65 G,138.34 G,66.00 B,492.00 B
2019-06-11 17:19:55,13.65 G,138.34 G,0.00 B,384.00 B
2019-06-11 17:19:57,13.65 G,138.34 G,54.00 B,1.22 K
2019-06-11 17:19:59,13.65 G,138.34 G,176.00 B,888.00 B
2019-06-11 17:20:01,13.65 G,138.34 G,1.11 K,2.10 K
2019-06-11 17:20:03,13.65 G,138.34 G,0.00 B,1.17 K
2019-06-11 17:20:05,13.65 G,138.34 G,54.00 B,384.00 B
2019-06-11 17:20:07,13.65 G,138.34 G,0.00 B,1.05 K
2019-06-11 17:20:09,13.65 G,138.34 G,110.00 B,1.20 K
2019-06-11 17:20:11,13.65 G,138.34 G,105.00 B,666.00 B
2019-06-11 17:20:13,13.65 G,138.34 G,0.00 B,288.00 B
