queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,query_10114.rq,2486,1,1,31,33926832,0,3799,30218,0
2,query_1587.rq,40,1,1,31,33926832,0,246,26463,26
3,query_3598.rq,47,1,1,29,32041960,0,117,29824,227940
4,query_9405.rq,32,1,1,14,15614004,0,100,18028,140199
5,query_3864.rq,27,1,1,10,10614562,0,107,16041,126516
6,query_9909.rq,28,1,1,14,15570273,0,92,13372,51302
7,query_3842.rq,36,1,1,7,7458138,0,74,9305,62105
8,query_9389.rq,29,1,1,10,10614562,0,103,15889,126516
9,query_10148.rq,31,1,1,9,10265428,0,63,11258,146996
10,query_9410.rq,33,1,1,5,6620131,0,364,10250,36225
11,query_10027.rq,35,1,1,65,69616756,0,128,68045,283797
12,query_9903.rq,36,1,1,29,32041960,0,90,27752,231254
13,query_4128.rq,37,1,1,17,18694647,0,111,17639,63420
14,query_9432.rq,43,1,1,9,10265428,0,77,10423,97273
15,query_11543.rq,42,1,1,31,33926832,0,108,23679,26
16,query_4166.rq,41,1,1,13,14182578,0,80,17451,225094
17,query_3705.rq,46,1,1,9,10265428,0,81,10362,98624
18,query_9379.rq,43,1,1,9,10265428,0,76,10315,97273
19,query_9433.rq,43,1,1,6,7692817,0,225,9587,45411
20,query_1582.rq,45,1,1,14,15614004,0,97,16811,140199
21,query_4146.rq,45,2,2,20,23306821,0,208,21026,28167
22,query_10022.rq,47,1,1,14,15570273,0,108,12417,51302
23,query_1536.rq,46,2,2,28,31184277,0,106,25510,56210
24,query_10166.rq,46,1,1,16,17307022,0,117,11785,1
25,query_10004.rq,44,1,1,16,17307022,0,129,11658,1
26,query_9334.rq,45,1,1,5,6535256,0,210,7245,0
27,query_1542.rq,49,1,1,65,69616756,0,145,65021,283797
28,query_4075.rq,47,1,1,14,15570273,0,113,13474,90045
29,query_4112.rq,46,1,1,6,7692817,0,258,9582,45411
30,query_10123.rq,44,1,1,31,33926832,0,113,19970,26
31,query_10105.rq,51,1,1,65,69616756,0,192,63724,283797
32,query_1479.rq,47,1,1,65,69616756,0,141,60083,283797
33,query_3771.rq,48,1,1,9,10265428,0,84,10399,98014
34,query_3859.rq,49,1,1,12,14306627,0,128,10388,0
35,query_10084.rq,54,1,1,65,69616756,0,140,45125,94099
36,query_10120.rq,52,1,1,9,10265428,0,98,12342,146996
37,query_9352.rq,56,1,1,7,7458138,0,91,9241,62105
38,query_4149.rq,55,1,1,29,32041960,0,99,23059,231955
39,query_9306.rq,59,1,1,7,7458138,0,108,9261,42461
40,query_1603.rq,60,1,1,31,33926832,0,123,18697,26
41,query_10158.rq,59,2,2,11,13117048,0,211,15622,33192
42,query_1585.rq,64,1,1,13,14182578,0,119,17194,225094
43,query_160.rq,61,1,1,0,1011005,0,235,11580,139951
44,query_4124.rq,62,1,1,29,32041960,0,107,22936,225843
45,query_10109.rq,85,1,1,10,10614562,0,158,15808,126516
46,query_10159.rq,66,1,1,5,6620131,0,386,10145,36225
47,query_2200.rq,64,1,1,7,7458138,0,101,8732,42461
48,query_1600.rq,64,1,1,31,33926832,0,123,18632,26
49,query_4107.rq,69,1,1,31,33926832,0,130,20415,26
50,query_3856.rq,69,1,1,9,10265428,0,106,11391,146996
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
53,53,1022,1124973282,11322,1010756
