2019-06-07 22:41:37,147.70 M,876.05 M,12.77 K,388.82 K
2019-06-07 22:41:39,147.72 M,877.08 M,0.00 B,1.23 K
2019-06-07 22:41:41,147.72 M,877.08 M,0.00 B,504.00 B
2019-06-07 22:41:43,147.72 M,877.08 M,0.00 B,1.00 K
2019-06-07 22:41:45,147.72 M,877.30 M,0.00 B,600.00 B
2019-06-07 22:41:47,147.75 M,878.83 M,27.07 K,1.53 M
2019-06-07 22:41:49,147.75 M,878.84 M,0.00 B,852.00 B
2019-06-07 22:41:51,147.75 M,878.84 M,0.00 B,600.00 B
2019-06-07 22:41:53,147.78 M,880.36 M,11.43 K,937.68 K
2019-06-07 22:41:55,147.78 M,880.36 M,0.00 B,876.00 B
2019-06-07 22:41:57,147.82 M,881.37 M,0.00 B,732.00 B
2019-06-07 22:41:59,147.85 M,883.11 M,35.20 K,1.74 M
2019-06-07 22:42:01,147.85 M,883.40 M,0.00 B,13.70 K
2019-06-07 22:42:03,147.85 M,883.40 M,0.00 B,972.00 B
2019-06-07 22:42:05,147.89 M,885.22 M,17.98 K,1.30 M
2019-06-07 22:42:07,147.89 M,885.22 M,0.00 B,864.00 B
2019-06-07 22:42:09,147.89 M,885.22 M,0.00 B,444.00 B
2019-06-07 22:42:11,147.91 M,886.64 M,1.35 K,98.05 K
2019-06-07 22:42:13,147.92 M,887.28 M,13.58 K,661.49 K
2019-06-07 22:42:15,147.92 M,887.28 M,0.00 B,384.00 B
2019-06-07 22:42:17,147.95 M,888.80 M,6.31 K,500.45 K
2019-06-07 22:42:19,147.95 M,888.80 M,0.00 B,276.00 B
2019-06-07 22:42:21,147.95 M,888.80 M,0.00 B,756.00 B
2019-06-07 22:42:23,148.05 M,893.19 M,70.92 K,2.11 M
2019-06-07 22:42:25,148.23 M,897.21 M,94.09 K,1.99 M
2019-06-07 22:42:27,148.41 M,901.08 M,90.19 K,1.93 M
2019-06-07 22:42:29,148.53 M,903.71 M,27.15 K,587.71 K
2019-06-07 22:42:31,148.54 M,903.91 M,6.81 K,199.84 K
2019-06-07 22:42:33,148.54 M,903.94 M,0.00 B,720.00 B
2019-06-07 22:42:35,148.56 M,904.37 M,0.00 B,720.00 B
2019-06-07 22:42:37,148.58 M,905.85 M,20.74 K,1.48 M
2019-06-07 22:42:39,148.60 M,907.46 M,0.00 B,1.02 K
2019-06-07 22:42:41,148.62 M,908.11 M,25.75 K,657.61 K
2019-06-07 22:42:43,148.63 M,908.25 M,5.31 K,142.07 K
2019-06-07 22:42:45,148.64 M,909.01 M,0.00 B,384.00 B
2019-06-07 22:42:47,148.66 M,910.11 M,9.30 K,824.74 K
2019-06-07 22:42:49,148.67 M,910.64 M,9.87 K,540.01 K
2019-06-07 22:42:51,148.70 M,911.29 M,0.00 B,336.00 B
2019-06-07 22:42:53,148.78 M,913.11 M,64.74 K,1.35 M
2019-06-07 22:42:55,148.78 M,913.12 M,0.00 B,672.00 B
2019-06-07 22:42:57,148.81 M,916.38 M,13.59 K,1.26 M
2019-06-07 22:42:59,148.82 M,916.52 M,4.06 K,143.72 K
2019-06-07 22:43:01,148.83 M,917.22 M,0.00 B,1.49 K
2019-06-07 22:43:03,148.87 M,919.20 M,37.88 K,1.76 M
2019-06-07 22:43:05,148.87 M,919.21 M,0.00 B,1.01 K
2019-06-07 22:43:07,148.91 M,922.30 M,15.29 K,1.31 M
2019-06-07 22:43:09,148.91 M,922.31 M,0.00 B,1.32 K
2019-06-07 22:43:11,148.93 M,923.83 M,0.00 B,936.00 B
2019-06-07 22:43:13,148.95 M,924.43 M,24.32 K,608.73 K
2019-06-07 22:43:15,148.95 M,924.43 M,0.00 B,540.00 B
2019-06-07 22:43:17,149.06 M,926.92 M,35.27 K,750.64 K
2019-06-07 22:43:19,149.06 M,927.14 M,4.99 K,226.63 K
2019-06-07 22:43:21,149.06 M,927.14 M,204.00 B,609.00 B
2019-06-07 22:43:23,149.10 M,928.05 M,0.00 B,888.00 B
2019-06-07 22:43:26,149.13 M,928.91 M,29.40 K,882.27 K
2019-06-07 22:43:28,149.13 M,928.92 M,0.00 B,864.00 B
2019-06-07 22:43:30,149.15 M,929.48 M,0.00 B,816.00 B
2019-06-07 22:43:32,149.18 M,931.59 M,27.43 K,2.10 M
2019-06-07 22:43:34,149.19 M,932.78 M,0.00 B,996.00 B
2019-06-07 22:43:36,149.22 M,934.59 M,25.12 K,1.55 M
2019-06-07 22:43:38,149.22 M,934.60 M,0.00 B,1.02 K
2019-06-07 22:43:40,149.22 M,934.60 M,0.00 B,432.00 B
2019-06-07 22:43:42,149.23 M,934.80 M,0.00 B,972.00 B
2019-06-07 22:43:44,149.26 M,936.08 M,24.74 K,1.16 M
2019-06-07 22:43:46,149.26 M,936.08 M,0.00 B,552.00 B
2019-06-07 22:43:48,149.27 M,936.61 M,0.00 B,216.00 B
2019-06-07 22:43:50,149.29 M,938.19 M,10.79 K,1.09 M
2019-06-07 22:43:52,149.29 M,938.28 M,3.78 K,83.18 K
2019-06-07 22:43:54,149.32 M,941.47 M,8.19 K,813.98 K
2019-06-07 22:43:56,149.34 M,942.05 M,19.03 K,585.28 K
2019-06-07 22:43:58,149.39 M,943.06 M,0.00 B,1.89 K
2019-06-07 22:44:00,149.39 M,943.22 M,0.00 B,1.56 K
2019-06-07 22:44:02,149.41 M,944.67 M,24.56 K,1.43 M
2019-06-07 22:44:04,149.42 M,944.77 M,0.00 B,756.00 B
2019-06-07 22:44:06,149.42 M,944.77 M,0.00 B,1.31 K
2019-06-07 22:44:08,149.43 M,945.21 M,3.43 K,105.73 K
2019-06-07 22:44:10,149.43 M,945.36 M,3.71 K,158.71 K
2019-06-07 22:44:12,149.43 M,945.36 M,0.00 B,168.00 B
2019-06-07 22:44:14,149.45 M,947.08 M,0.00 B,828.00 B
2019-06-07 22:44:16,149.49 M,948.77 M,37.01 K,1.69 M
2019-06-07 22:44:18,149.49 M,948.77 M,0.00 B,348.00 B
2019-06-07 22:44:20,149.49 M,948.77 M,0.00 B,855.00 B
2019-06-07 22:44:22,149.50 M,949.11 M,0.00 B,552.00 B
2019-06-07 22:44:24,149.50 M,949.27 M,4.41 K,158.18 K
2019-06-07 22:44:26,149.51 M,949.67 M,11.29 K,408.27 K
2019-06-07 22:44:28,149.53 M,950.94 M,84.00 B,624.00 B
2019-06-07 22:44:30,149.53 M,950.94 M,0.00 B,1.25 K
2019-06-07 22:44:32,149.56 M,952.28 M,33.37 K,1.33 M
2019-06-07 22:44:34,149.56 M,952.71 M,0.00 B,972.00 B
2019-06-07 22:44:36,149.57 M,952.93 M,0.00 B,1.80 K
2019-06-07 22:44:38,149.59 M,954.31 M,18.36 K,1.38 M
2019-06-07 22:44:40,149.59 M,954.31 M,0.00 B,900.00 B
2019-06-07 22:44:42,149.61 M,955.84 M,0.00 B,996.00 B
2019-06-07 22:44:44,149.61 M,955.84 M,0.00 B,492.00 B
2019-06-07 22:44:46,149.62 M,956.07 M,6.81 K,231.90 K
2019-06-07 22:44:48,149.62 M,956.07 M,0.00 B,240.00 B
2019-06-07 22:44:50,149.76 M,959.25 M,93.48 K,1.93 M
2019-06-07 22:44:52,149.81 M,960.26 M,0.00 B,1.34 K
2019-06-07 22:44:54,149.83 M,961.97 M,23.15 K,1.71 M
2019-06-07 22:44:56,149.83 M,961.98 M,0.00 B,936.00 B
2019-06-07 22:44:58,149.93 M,964.31 M,37.98 K,798.95 K
2019-06-07 22:45:00,149.94 M,964.72 M,10.67 K,413.99 K
2019-06-07 22:45:02,149.95 M,965.53 M,0.00 B,1.54 K
2019-06-07 22:45:04,149.98 M,966.94 M,15.72 K,1.08 M
2019-06-07 22:45:06,149.98 M,966.94 M,0.00 B,855.00 B
2019-06-07 22:45:08,149.98 M,966.94 M,0.00 B,1.12 K
2019-06-07 22:45:10,149.99 M,967.77 M,0.00 B,552.00 B
2019-06-07 22:45:12,150.00 M,969.10 M,10.98 K,1.10 M
2019-06-07 22:45:14,150.00 M,969.10 M,0.00 B,504.00 B
2019-06-07 22:45:16,150.02 M,970.57 M,0.00 B,672.00 B
2019-06-07 22:45:18,150.04 M,971.50 M,11.51 K,959.37 K
2019-06-07 22:45:20,150.04 M,971.50 M,0.00 B,768.00 B
2019-06-07 22:45:22,150.06 M,973.48 M,1.22 K,133.97 K
2019-06-07 22:45:24,150.07 M,973.84 M,10.93 K,363.65 K
2019-06-07 22:45:26,150.07 M,973.92 M,42.00 B,1.24 K
2019-06-07 22:45:28,150.11 M,975.68 M,14.90 K,1.03 M
2019-06-07 22:45:30,150.11 M,975.68 M,0.00 B,432.00 B
