query,time,httpCalls,nbResults,errors
query_10109,,0
query_10171,,0
query_10200,1.505,1,0
query_10377,,0
query_10389,21.237,1,0
query_10390,4.218,1,0
query_10433,175.494,1,0
query_10596,10.613,1,0
query_10687,0.024,1,0
query_10690,0.352,1,0
query_10719,,0
query_10869,,0
query_10907,90.853,1,0
query_10973,71.609,1,0
query_11020,29.296,1,0
query_11071,3.389,1,0
query_11143,57.746,1,0
query_11194,0.114,1,0
query_11293,11.967,1,0
query_11339,0.133,1,0
query_11349,129.11,1,0
query_11355,0.381,1,0
query_11513,1.313,1,0
query_11514,68.994,1,0
query_11674,12.119,1,0
query_11675,110.73,1,0
query_11742,,0
query_1175,,0
query_11776,0.166,1,0
query_11788,39.175,1,0
query_12075,0.144,1,0
query_12140,59.17,1,0
query_12229,153.373,1,0
query_12394,68.254,1,0
query_1283,0.022,1,0
query_1288,95.073,1,0
query_1313,2.666,1,0
query_1334,12.234,1,0
query_133,188.91,1,0
query_1399,0.324,1,0
query_1400,4.236,1,0
query_1401,116.856,1,0
query_1419,54.081,1,0
query_1471,58.727,1,0
query_1536,30.149,1,0
query_1766,8.328,1,0
query_1770,,0
query_1883,7.815,1,0
query_1941,119.238,1,0
query_2091,0.205,1,0
query_2163,62.747,1,0
query_2171,2.695,1,0
query_2202,2.364,1,0
query_2221,197.166,1,0
query_2482,0.131,1,0
query_2503,68.883,1,0
query_2550,17.535,1,0
query_2563,20.704,1,0
query_2678,135.989,1,0
query_2709,0.219,1,0
query_2718,157.919,1,0
query_2886,100.516,1,0
query_292,119.932,1,0
query_294,0.276,1,0
query_296,16.739,1,0
query_307,21.76,1,0
query_3084,0.711,1,0
query_3100,124.335,1,0
query_3202,8.825,1,0
query_3251,0.965,1,0
query_3428,58.214,1,0
query_3454,233.278,1,0
query_3470,90.024,1,0
query_3544,4.062,1,0
query_3558,0.151,1,0
query_3626,177.175,1,0
query_365,28.637,1,0
query_3675,3.925,1,0
query_3734,,0
query_3737,138.875,1,0
query_3739,12.475,1,0
query_3875,297.237,1,0
query_4102,0.022,1,0
query_4139,13.023,1,0
query_4189,8.355,1,0
query_4299,0.608,1,0
query_4432,145.66,1,0
query_448,25.892,1,0
query_4544,3.046,1,0
query_4642,0.656,1,0
query_4736,175.449,1,0
query_4751,3.234,1,0
query_4772,8.154,1,0
query_490,150.552,1,0
query_4911,0.022,1,0
query_5099,32.398,1,0
query_5105,97.778,1,0
query_5233,0.321,1,0
query_5373,23.721,1,0
query_5554,2.835,1,0
query_5575,,0
query_5688,13.575,1,0
query_5760,32.238,1,0
query_582,1.799,1,0
query_5853,52.114,1,0
query_5923,4.797,1,0
query_5929,106.191,1,0
query_5976,0.665,1,0
query_5980,0.167,1,0
query_5987,2.67,1,0
query_59,0.225,1,0
query_635,84.59,1,0
query_6378,10.979,1,0
query_6389,47.014,1,0
query_6422,87.448,1,0
query_6476,11.359,1,0
query_6499,13.336,1,0
query_6544,,0
query_6568,2.717,1,0
query_6594,48.203,1,0
query_6684,244.607,1,0
query_6693,3.275,1,0
query_66,0.199,1,0
query_6709,4.205,1,0
query_6788,96.643,1,0
query_6888,0.146,1,0
query_7182,0.301,1,0
query_7251,22.496,1,0
query_7355,0.455,1,0
query_7495,60.61,1,0
query_7589,177.861,1,0
query_7707,0.41,1,0
query_778,46.382,1,0
query_8070,14.631,1,0
query_8080,1.367,1,0
query_8464,6.356,1,0
query_8789,179.428,1,0
query_8808,58.477,1,0
query_8869,0.135,1,0
query_8890,0.099,1,0
query_8930,0.873,1,0
query_895,0.99,1,0
query_8,64.522,1,0
query_9070,25.564,1,0
query_90,0.022,1,0
query_9350,1.033,1,0
query_9362,0.14,1,0
query_9375,0.022,1,0
query_9398,279.695,1,0
query_9405,16.163,1,0
query_9499,142.364,1,0
query_9543,0.228,1,0
query_9618,22.401,1,0
query_9811,58.763,1,0
query_9822,15.85,1,0
query_9856,0.12,1,0
