2019-06-18 00:50:31,6.40 T,507.34 G,260.71 K,64.62 K
2019-06-18 00:50:37,6.40 T,507.34 G,286.21 K,44.00 K
2019-06-18 00:50:43,6.40 T,507.34 G,729.60 K,84.77 K
2019-06-18 00:50:49,6.40 T,507.34 G,148.95 K,43.44 K
2019-06-18 00:50:55,6.40 T,507.34 G,335.50 K,69.02 K
2019-06-18 00:51:01,6.40 T,507.35 G,528.12 K,79.57 K
2019-06-18 00:51:07,6.40 T,507.35 G,139.72 K,60.36 K
2019-06-18 00:51:13,6.40 T,507.35 G,72.65 K,55.83 K
2019-06-18 00:51:19,6.40 T,507.35 G,77.34 K,46.44 K
2019-06-18 00:51:25,6.40 T,507.35 G,818.97 K,75.07 K
2019-06-18 00:51:31,6.40 T,507.35 G,2.67 M,135.67 K
2019-06-18 00:51:37,6.40 T,507.35 G,1.76 M,186.14 K
2019-06-18 00:51:43,6.40 T,507.35 G,2.73 M,195.93 K
2019-06-18 00:51:49,6.40 T,507.35 G,1.84 M,66.81 K
2019-06-18 00:51:55,6.40 T,507.35 G,2.17 M,73.27 K
2019-06-18 00:52:01,6.40 T,507.35 G,2.27 M,189.28 K
2019-06-18 00:52:07,6.40 T,507.35 G,2.60 M,184.42 K
2019-06-18 00:52:13,6.40 T,507.35 G,1.79 M,171.91 K
2019-06-18 00:52:19,6.40 T,507.35 G,2.79 M,174.80 K
2019-06-18 00:52:25,6.40 T,507.36 G,3.23 M,95.77 K
2019-06-18 00:52:31,6.40 T,507.36 G,2.62 M,302.57 K
2019-06-18 00:52:37,6.40 T,507.36 G,2.53 M,200.29 K
2019-06-18 00:52:43,6.40 T,507.36 G,2.58 M,190.24 K
2019-06-18 00:52:49,6.40 T,507.36 G,2.74 M,78.06 K
2019-06-18 00:52:55,6.40 T,507.36 G,2.08 M,182.60 K
2019-06-18 00:53:02,6.40 T,507.36 G,1.99 M,181.20 K
2019-06-18 00:53:08,6.40 T,507.36 G,2.55 M,70.83 K
2019-06-18 00:53:14,6.40 T,507.36 G,2.08 M,173.53 K
2019-06-18 00:53:20,6.40 T,507.36 G,1.93 M,93.91 K
2019-06-18 00:53:26,6.40 T,507.36 G,2.34 M,209.87 K
2019-06-18 00:53:32,6.40 T,507.36 G,1.93 M,184.43 K
2019-06-18 00:53:38,6.40 T,507.36 G,1.13 M,71.04 K
2019-06-18 00:53:44,6.40 T,507.36 G,2.21 M,59.06 K
2019-06-18 00:53:50,6.40 T,507.36 G,2.42 M,76.26 K
2019-06-18 00:53:56,6.40 T,507.37 G,2.75 M,235.45 K
2019-06-18 00:54:02,6.40 T,507.37 G,3.05 M,145.64 K
2019-06-18 00:54:08,6.40 T,507.37 G,923.65 K,49.90 K
2019-06-18 00:54:14,6.40 T,507.37 G,1.61 M,50.03 K
2019-06-18 00:54:20,6.40 T,507.37 G,1.83 M,86.58 K
2019-06-18 00:54:26,6.40 T,507.37 G,3.94 M,101.25 K
2019-06-18 00:54:32,6.40 T,507.37 G,2.20 M,155.56 K
2019-06-18 00:54:38,6.40 T,507.37 G,2.17 M,165.20 K
2019-06-18 00:54:44,6.40 T,507.37 G,3.06 M,75.62 K
2019-06-18 00:54:50,6.40 T,507.37 G,2.79 M,84.93 K
2019-06-18 00:54:56,6.40 T,507.37 G,2.46 M,66.45 K
2019-06-18 00:55:02,6.40 T,507.37 G,2.22 M,181.37 K
