2019-06-08 00:32:18,61.18 M,2.21 G,13.68 K,573.62 K
2019-06-08 00:32:20,61.20 M,2.21 G,7.26 K,287.13 K
2019-06-08 00:32:22,61.20 M,2.21 G,0.00 B,552.00 B
2019-06-08 00:32:24,61.21 M,2.21 G,0.00 B,0.00 B
2019-06-08 00:32:26,61.22 M,2.21 G,6.87 K,286.72 K
2019-06-08 00:32:28,61.22 M,2.21 G,0.00 B,243.00 B
2019-06-08 00:32:31,61.22 M,2.21 G,0.00 B,423.00 B
2019-06-08 00:32:33,61.22 M,2.21 G,0.00 B,936.00 B
2019-06-08 00:32:35,61.22 M,2.21 G,84.00 B,768.00 B
2019-06-08 00:32:37,61.22 M,2.21 G,0.00 B,108.00 B
2019-06-08 00:32:39,61.23 M,2.21 G,0.00 B,1.64 K
2019-06-08 00:32:41,61.23 M,2.21 G,0.00 B,1.05 K
2019-06-08 00:32:45,61.24 M,2.21 G,0.00 B,1.16 K
2019-06-08 00:32:47,61.24 M,2.21 G,0.00 B,924.00 B
2019-06-08 00:32:49,61.24 M,2.21 G,528.00 B,4.89 K
2019-06-08 00:32:51,61.24 M,2.21 G,0.00 B,108.00 B
2019-06-08 00:32:53,61.24 M,2.21 G,0.00 B,600.00 B
2019-06-08 00:32:55,61.24 M,2.21 G,594.00 B,45.68 K
2019-06-08 00:32:57,61.24 M,2.21 G,0.00 B,180.00 B
2019-06-08 00:32:59,61.24 M,2.21 G,0.00 B,552.00 B
2019-06-08 00:33:02,61.25 M,2.21 G,0.00 B,444.00 B
2019-06-08 00:33:04,61.25 M,2.21 G,0.00 B,120.00 B
2019-06-08 00:33:06,61.25 M,2.21 G,0.00 B,1.17 K
2019-06-08 00:33:08,61.26 M,2.21 G,4.32 K,223.09 K
2019-06-08 00:33:10,61.26 M,2.21 G,0.00 B,951.00 B
2019-06-08 00:33:12,61.27 M,2.21 G,7.61 K,357.46 K
2019-06-08 00:33:14,61.27 M,2.21 G,0.00 B,2.00 K
2019-06-08 00:33:16,61.28 M,2.21 G,7.09 K,355.28 K
2019-06-08 00:33:18,61.28 M,2.21 G,0.00 B,1.48 K
2019-06-08 00:33:20,61.28 M,2.21 G,5.09 K,274.26 K
2019-06-08 00:33:22,61.28 M,2.21 G,0.00 B,243.00 B
2019-06-08 00:33:24,61.29 M,2.21 G,0.00 B,492.00 B
2019-06-08 00:33:26,61.29 M,2.21 G,2.77 K,90.78 K
2019-06-08 00:33:28,61.30 M,2.21 G,0.00 B,276.00 B
2019-06-08 00:33:30,61.30 M,2.21 G,0.00 B,324.00 B
2019-06-08 00:33:32,61.31 M,2.21 G,0.00 B,648.00 B
2019-06-08 00:33:34,61.31 M,2.21 G,0.00 B,600.00 B
2019-06-08 00:33:36,61.31 M,2.21 G,7.33 K,353.83 K
2019-06-08 00:33:38,61.31 M,2.21 G,0.00 B,1.37 K
2019-06-08 00:33:40,61.32 M,2.21 G,7.02 K,353.80 K
2019-06-08 00:33:42,61.32 M,2.21 G,0.00 B,924.00 B
2019-06-08 00:33:44,61.33 M,2.22 G,6.83 K,355.16 K
2019-06-08 00:33:46,61.33 M,2.22 G,0.00 B,708.00 B
2019-06-08 00:33:48,61.33 M,2.22 G,3.29 K,145.65 K
2019-06-08 00:33:50,61.33 M,2.22 G,0.00 B,756.00 B
2019-06-08 00:33:52,61.33 M,2.22 G,0.00 B,0.00 B
2019-06-08 00:33:54,61.33 M,2.22 G,528.00 B,2.46 K
2019-06-08 00:33:56,61.33 M,2.22 G,0.00 B,276.00 B
2019-06-08 00:33:58,61.33 M,2.22 G,0.00 B,180.00 B
2019-06-08 00:34:00,61.33 M,2.22 G,0.00 B,552.00 B
2019-06-08 00:34:02,61.33 M,2.22 G,0.00 B,432.00 B
2019-06-08 00:34:04,61.33 M,2.22 G,0.00 B,708.00 B
2019-06-08 00:34:06,61.34 M,2.22 G,6.51 K,341.71 K
2019-06-08 00:34:08,61.34 M,2.22 G,0.00 B,648.00 B
2019-06-08 00:34:10,61.34 M,2.22 G,0.00 B,2.18 K
2019-06-08 00:34:12,61.34 M,2.22 G,462.00 B,4.87 K
2019-06-08 00:34:15,61.34 M,2.22 G,0.00 B,783.00 B
2019-06-08 00:34:17,61.34 M,2.22 G,0.00 B,228.00 B
2019-06-08 00:34:19,61.34 M,2.22 G,1.16 K,14.08 K
