queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,Q13.txt,306,1,1,0,2544,0,11546,12386,3
2,Q5.txt,37,1,1,0,194750,0,18626,142534,0
3,Q10.txt,32,0,0,0,0,0,242,1800281,30726
4,Q8.txt,37,1,1,17,18344556,0,87,36289,539113
5,Q3.txt,26,0,0,0,0,0,99,106,0
6,Q14.txt,39,0,0,0,0,0,165,1801915,1271
7,Q2.txt,44,0,0,0,0,0,167,1800457,267999
8,Q9.txt,26,1,1,2,3442068,0,147,4751,15855
9,Q7.txt,25,1,1,17,18344556,0,94,35128,539113
10,Q11.txt,25,1,1,2,3688630,0,118,16598,178302
11,Q12.txt,27,1,1,3,3800308,0,115,6810,44795
12,Q4.txt,25,0,0,0,0,0,95,1800104,86567
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
7,7,41,47817412,1800079,7465336
