query,time,httpCalls,nbResults,errors
query_3358,,0
query_335,22.412,1,0
query_3360,6.971,1,0
query_3361,3.777,1,0
query_3362,43.461,1,0
query_3363,0.598,1,0
query_3364,113.1,1,0
query_3365,2.437,1,0
query_3366,23.564,1,0
query_3367,114.622,1,0
query_3368,11.27,1,0
query_3369,11.377,1,0
query_336,6.344,1,0
query_3370,4.606,1,0
query_3371,11.179,1,0
query_3372,0.149,1,0
query_3374,171.487,1,0
query_3375,0.125,1,0
query_3376,0.082,1,0
query_3377,0.782,1,0
query_3378,23.892,1,0
query_337,246.24,1,0
query_3380,98.05,1,0
query_3381,8.778,1,0
query_3382,178.497,1,0
query_3384,17.184,1,0
query_3385,14.673,1,0
query_3387,53.053,1,0
query_3388,10.949,1,0
query_3389,0.968,1,0
query_3390,14.299,1,0
query_3391,0.028,1,0
query_3392,181.098,1,0
query_3393,153.65,1,0
query_3394,27.985,1,0
query_3395,4.659,1,0
query_3396,0.835,1,0
query_3397,64.772,1,0
query_3399,23.688,1,0
query_339,18.541,1,0
query_33,1.033,1,0
query_3400,,0
query_3401,3.603,1,0
query_3402,0.082,1,0
query_3404,183.075,1,0
query_3406,16.399,1,0
query_3407,106.255,1,0
query_3408,15.204,1,0
query_340,179.768,1,0
query_3410,206.652,1,0
query_3411,28.294,1,0
query_3412,4.892,1,0
query_3413,97.466,1,0
query_3414,134.373,1,0
query_3415,59.449,1,0
query_3416,,0
query_3419,0.389,1,0
query_341,73.05,1,0
query_3420,1.537,1,0
query_3422,20.657,1,0
query_3426,25.188,1,0
query_3427,165.1,1,0
query_3428,63.985,1,0
query_3429,3.334,1,0
query_342,12.384,1,0
query_3431,0.085,1,0
query_3433,44.662,1,0
query_3434,104.104,1,0
query_3435,24.573,1,0
query_3436,6.135,1,0
query_3437,0.329,1,0
query_3438,61.696,1,0
query_3439,13.844,1,0
query_343,12.425,1,0
query_3440,4.41,1,0
query_3441,23.589,1,0
query_3442,66.33,1,0
query_3444,0.406,1,0
query_3445,4.727,1,0
query_3447,5.428,1,0
query_3448,18.243,1,0
query_3449,11.897,1,0
query_344,33.942,1,0
query_3450,20.817,1,0
query_3451,120.697,1,0
query_3452,4.978,1,0
query_3454,224.353,1,0
query_3455,7.119,1,0
query_3458,13.157,1,0
query_3459,187.591,1,0
query_345,16.023,1,0
query_3460,63.864,1,0
query_3461,37.28,1,0
query_3462,7.911,1,0
query_3463,0.03,1,0
query_3465,0.396,1,0
query_3466,0.029,1,0
query_3467,36.625,1,0
query_3468,190.896,1,0
query_3469,124.104,1,0
query_346,0.032,1,0
query_3470,109.685,1,0
query_3471,0.15,1,0
query_3472,2.544,1,0
query_3474,19.68,1,0
query_3476,,0
query_3478,71.877,1,0
query_3479,,0
query_347,1.953,1,0
query_3480,8.853,1,0
query_3481,166.346,1,0
query_3482,0.71,1,0
query_3483,0.024,1,0
query_3484,60.577,1,0
query_3485,89.373,1,0
query_3486,19.691,1,0
query_3487,2.447,1,0
query_3488,5.768,1,0
query_3489,0.027,1,0
query_348,2.53,1,0
query_3491,174.728,1,0
query_3492,0.027,1,0
query_3493,1.809,1,0
query_3495,3.164,1,0
query_3496,0.132,1,0
query_3497,197.159,1,0
query_3499,0.044,1,0
query_349,2.381,1,0
query_34,2.529,1,0
query_3500,0.137,1,0
query_3503,85.542,1,0
query_3504,181.909,1,0
query_3505,18.521,1,0
query_3506,,0
query_3507,0.297,1,0
query_3508,2.721,1,0
query_3509,145.464,1,0
query_350,76.519,1,0
query_3510,0.197,1,0
query_3512,107.333,1,0
query_3513,0.608,1,0
query_3514,0.585,1,0
query_3515,73.414,1,0
query_3516,0.19,1,0
query_3517,3.561,1,0
query_3518,0.275,1,0
query_3520,25.205,1,0
query_3523,107.436,1,0
query_3524,0.025,1,0
query_3526,9.544,1,0
query_3527,,0
query_3528,2.815,1,0
query_3529,15.531,1,0
query_352,105.561,1,0
query_541,10.603,1,0
query_7242,19.716,1,0
