2019-06-08 00:01:07,57.44 M,2.13 G,9.24 K,342.23 K
2019-06-08 00:01:10,57.46 M,2.13 G,1.16 K,17.45 K
2019-06-08 00:01:12,57.47 M,2.13 G,2.77 K,103.84 K
2019-06-08 00:01:14,57.47 M,2.13 G,1.93 K,52.58 K
2019-06-08 00:01:16,57.48 M,2.13 G,0.00 B,1.08 K
2019-06-08 00:01:18,57.48 M,2.13 G,7.54 K,492.06 K
2019-06-08 00:01:20,57.48 M,2.13 G,0.00 B,120.00 B
2019-06-08 00:01:23,57.49 M,2.13 G,0.00 B,168.00 B
2019-06-08 00:01:27,57.49 M,2.13 G,0.00 B,180.00 B
2019-06-08 00:01:29,57.49 M,2.13 G,660.00 B,8.34 K
2019-06-08 00:01:31,57.49 M,2.13 G,0.00 B,492.00 B
2019-06-08 00:01:33,57.49 M,2.13 G,462.00 B,1.98 K
2019-06-08 00:01:35,57.49 M,2.13 G,0.00 B,1.38 K
2019-06-08 00:01:37,57.50 M,2.13 G,6.45 K,348.75 K
2019-06-08 00:01:39,57.50 M,2.13 G,0.00 B,1.16 K
2019-06-08 00:01:41,57.50 M,2.13 G,0.00 B,1.54 K
2019-06-08 00:01:44,57.51 M,2.13 G,0.00 B,888.00 B
2019-06-08 00:01:46,57.51 M,2.13 G,0.00 B,924.00 B
2019-06-08 00:01:49,57.51 M,2.13 G,0.00 B,240.00 B
2019-06-08 00:01:51,57.51 M,2.13 G,0.00 B,336.00 B
2019-06-08 00:01:53,57.52 M,2.14 G,0.00 B,0.00 B
2019-06-08 00:01:55,57.52 M,2.14 G,0.00 B,6.12 K
2019-06-08 00:01:58,57.52 M,2.14 G,0.00 B,432.00 B
2019-06-08 00:02:00,57.52 M,2.14 G,0.00 B,600.00 B
2019-06-08 00:02:03,57.52 M,2.14 G,0.00 B,540.00 B
2019-06-08 00:02:05,57.52 M,2.14 G,0.00 B,648.00 B
2019-06-08 00:02:07,57.53 M,2.14 G,5.71 K,350.63 K
2019-06-08 00:02:09,57.53 M,2.14 G,42.00 B,1.38 K
2019-06-08 00:02:11,57.54 M,2.14 G,2.13 K,94.72 K
2019-06-08 00:02:13,57.54 M,2.14 G,0.00 B,1.22 K
2019-06-08 00:02:15,57.54 M,2.14 G,0.00 B,540.00 B
2019-06-08 00:02:18,57.54 M,2.14 G,0.00 B,60.00 B
2019-06-08 00:02:20,57.54 M,2.14 G,0.00 B,108.00 B
2019-06-08 00:02:23,57.54 M,2.14 G,0.00 B,168.00 B
2019-06-08 00:02:25,57.54 M,2.14 G,0.00 B,108.00 B
2019-06-08 00:02:29,57.54 M,2.14 G,0.00 B,444.00 B
2019-06-08 00:02:31,57.54 M,2.14 G,0.00 B,216.00 B
2019-06-08 00:02:33,57.54 M,2.14 G,462.00 B,2.90 K
2019-06-08 00:02:36,57.54 M,2.14 G,0.00 B,1.22 K
2019-06-08 00:02:38,57.54 M,2.14 G,0.00 B,1.27 K
2019-06-08 00:02:41,57.55 M,2.14 G,0.00 B,1.27 K
2019-06-08 00:02:43,57.55 M,2.14 G,0.00 B,1.01 K
2019-06-08 00:02:45,57.56 M,2.14 G,9.38 K,525.19 K
2019-06-08 00:02:47,57.56 M,2.14 G,0.00 B,336.00 B
2019-06-08 00:02:49,57.56 M,2.14 G,0.00 B,168.00 B
2019-06-08 00:02:51,57.57 M,2.14 G,0.00 B,120.00 B
2019-06-08 00:02:53,57.57 M,2.14 G,0.00 B,336.00 B
2019-06-08 00:02:55,57.57 M,2.14 G,0.00 B,288.00 B
2019-06-08 00:02:57,57.57 M,2.14 G,0.00 B,348.00 B
2019-06-08 00:02:59,57.58 M,2.14 G,0.00 B,1.05 K
2019-06-08 00:03:01,57.58 M,2.14 G,0.00 B,648.00 B
2019-06-08 00:03:03,57.59 M,2.14 G,7.41 K,525.31 K
2019-06-08 00:03:05,57.59 M,2.14 G,0.00 B,1.69 K
2019-06-08 00:03:07,57.59 M,2.14 G,0.00 B,1.05 K
2019-06-08 00:03:09,57.60 M,2.14 G,42.00 B,1.34 K
2019-06-08 00:03:11,57.60 M,2.14 G,84.00 B,1.17 K
2019-06-08 00:03:13,57.61 M,2.14 G,0.00 B,492.00 B
2019-06-08 00:03:15,57.61 M,2.14 G,0.00 B,552.00 B
2019-06-08 00:03:17,57.62 M,2.14 G,6.17 K,313.95 K
2019-06-08 00:03:19,57.62 M,2.14 G,0.00 B,336.00 B
2019-06-08 00:03:21,57.63 M,2.14 G,9.52 K,517.02 K
2019-06-08 00:03:23,57.63 M,2.14 G,0.00 B,276.00 B
2019-06-08 00:03:25,57.63 M,2.14 G,0.00 B,444.00 B
2019-06-08 00:03:27,57.64 M,2.14 G,0.00 B,0.00 B
2019-06-08 00:03:29,57.64 M,2.14 G,0.00 B,540.00 B
2019-06-08 00:03:31,57.65 M,2.14 G,0.00 B,1.11 K
2019-06-08 00:03:33,57.66 M,2.14 G,5.09 K,294.88 K
