2019-06-15 03:36:32,15.49 G,211.81 G,42.00 B,660.00 B
2019-06-15 03:36:34,15.49 G,211.81 G,0.00 B,924.00 B
2019-06-15 03:36:36,15.49 G,211.81 G,681.00 B,20.32 K
2019-06-15 03:36:38,15.49 G,211.81 G,0.00 B,936.00 B
2019-06-15 03:36:40,15.49 G,211.81 G,2.54 K,55.93 K
2019-06-15 03:36:42,15.49 G,211.81 G,2.33 K,76.50 K
2019-06-15 03:36:44,15.49 G,211.82 G,28.29 K,2.43 M
2019-06-15 03:36:46,15.49 G,211.82 G,0.00 B,1.07 K
2019-06-15 03:36:48,15.49 G,211.82 G,0.00 B,492.00 B
2019-06-15 03:36:50,15.49 G,211.82 G,2.10 K,1.79 K
2019-06-15 03:36:52,15.49 G,211.82 G,33.19 K,2.42 M
2019-06-15 03:36:54,15.49 G,211.83 G,29.13 K,2.43 M
2019-06-15 03:36:56,15.49 G,211.83 G,29.13 K,2.43 M
2019-06-15 03:36:58,15.49 G,211.84 G,29.39 K,2.43 M
2019-06-15 03:37:00,15.49 G,211.84 G,29.01 K,2.44 M
2019-06-15 03:37:02,15.49 G,211.85 G,23.04 K,2.42 M
2019-06-15 03:37:04,15.49 G,211.85 G,22.37 K,2.42 M
2019-06-15 03:37:06,15.49 G,211.86 G,23.40 K,2.42 M
2019-06-15 03:37:08,15.49 G,211.86 G,221.17 K,1.07 M
2019-06-15 03:37:11,15.49 G,211.86 G,0.00 B,936.00 B
2019-06-15 03:37:13,15.49 G,211.86 G,0.00 B,1.02 K
2019-06-15 03:37:15,15.49 G,211.86 G,32.22 K,2.11 M
2019-06-15 03:37:17,15.49 G,211.87 G,27.59 K,2.42 M
2019-06-15 03:37:19,15.49 G,211.87 G,26.88 K,2.42 M
2019-06-15 03:37:21,15.49 G,211.88 G,26.55 K,2.42 M
2019-06-15 03:37:23,15.49 G,211.88 G,26.49 K,2.42 M
2019-06-15 03:37:25,15.49 G,211.88 G,27.01 K,2.42 M
2019-06-15 03:37:27,15.49 G,211.89 G,0.00 B,1.05 K
2019-06-15 03:37:29,15.49 G,211.89 G,132.00 B,1.46 K
2019-06-15 03:37:31,15.49 G,211.89 G,0.00 B,816.00 B
2019-06-15 03:37:33,15.49 G,211.89 G,31.55 K,1.92 M
2019-06-15 03:37:35,15.49 G,211.89 G,27.11 K,2.42 M
2019-06-15 03:37:37,15.49 G,211.90 G,29.47 K,2.38 M
2019-06-15 03:37:39,15.49 G,211.90 G,27.91 K,2.44 M
2019-06-15 03:37:41,15.49 G,211.91 G,26.43 K,2.43 M
2019-06-15 03:37:43,15.49 G,211.91 G,26.75 K,2.43 M
2019-06-15 03:37:45,15.49 G,211.92 G,26.81 K,2.43 M
2019-06-15 03:37:47,15.49 G,211.92 G,25.65 K,2.43 M
2019-06-15 03:37:49,15.49 G,211.93 G,31.58 K,2.42 M
2019-06-15 03:37:51,15.49 G,211.93 G,25.20 K,2.42 M
2019-06-15 03:37:53,15.49 G,211.94 G,25.07 K,2.42 M
2019-06-15 03:37:55,15.49 G,211.94 G,24.43 K,2.43 M
2019-06-15 03:37:57,15.49 G,211.95 G,25.52 K,2.42 M
2019-06-15 03:37:59,15.49 G,211.95 G,25.65 K,2.43 M
2019-06-15 03:38:01,15.49 G,211.96 G,24.75 K,2.42 M
2019-06-15 03:38:03,15.49 G,211.96 G,24.69 K,2.42 M
2019-06-15 03:38:05,15.49 G,211.97 G,23.65 K,2.42 M
2019-06-15 03:38:07,15.49 G,211.97 G,22.90 K,2.41 M
2019-06-15 03:38:09,15.49 G,211.97 G,25.31 K,2.41 M
2019-06-15 03:38:11,15.49 G,211.98 G,24.30 K,2.41 M
2019-06-15 03:38:13,15.49 G,211.98 G,23.01 K,2.42 M
2019-06-15 03:38:15,15.49 G,211.99 G,24.75 K,2.40 M
2019-06-15 03:38:17,15.49 G,211.99 G,22.04 K,2.41 M
2019-06-15 03:38:19,15.49 G,212.00 G,22.69 K,2.41 M
2019-06-15 03:38:21,15.49 G,212.00 G,22.56 K,2.42 M
2019-06-15 03:38:23,15.49 G,212.01 G,22.56 K,2.41 M
2019-06-15 03:38:25,15.49 G,212.01 G,22.43 K,2.41 M
2019-06-15 03:38:27,15.49 G,212.02 G,23.14 K,2.42 M
2019-06-15 03:38:29,15.49 G,212.02 G,23.98 K,2.41 M
2019-06-15 03:38:31,15.49 G,212.03 G,22.62 K,2.41 M
2019-06-15 03:38:33,15.49 G,212.03 G,22.88 K,2.41 M
2019-06-15 03:38:35,15.49 G,212.04 G,23.27 K,2.42 M
2019-06-15 03:38:37,15.49 G,212.04 G,23.46 K,2.42 M
2019-06-15 03:38:39,15.49 G,212.05 G,22.49 K,2.42 M
2019-06-15 03:38:41,15.49 G,212.05 G,22.69 K,2.41 M
2019-06-15 03:38:43,15.49 G,212.06 G,23.20 K,2.41 M
2019-06-15 03:38:45,15.49 G,212.06 G,23.14 K,2.41 M
2019-06-15 03:38:47,15.49 G,212.06 G,22.88 K,2.41 M
2019-06-15 03:38:49,15.49 G,212.07 G,23.98 K,2.41 M
2019-06-15 03:38:51,15.49 G,212.07 G,23.40 K,2.40 M
2019-06-15 03:38:53,15.49 G,212.08 G,22.56 K,2.41 M
2019-06-15 03:38:55,15.49 G,212.08 G,23.46 K,2.42 M
2019-06-15 03:38:57,15.49 G,212.09 G,23.27 K,2.42 M
2019-06-15 03:38:59,15.49 G,212.09 G,23.01 K,2.41 M
2019-06-15 03:39:01,15.49 G,212.10 G,23.33 K,2.42 M
2019-06-15 03:39:03,15.49 G,212.10 G,22.37 K,2.41 M
2019-06-15 03:39:05,15.49 G,212.11 G,23.59 K,2.42 M
2019-06-15 03:39:07,15.49 G,212.11 G,23.01 K,2.41 M
2019-06-15 03:39:09,15.49 G,212.12 G,25.01 K,2.42 M
2019-06-15 03:39:11,15.49 G,212.12 G,22.99 K,2.42 M
2019-06-15 03:39:13,15.49 G,212.13 G,26.49 K,2.42 M
2019-06-15 03:39:15,15.49 G,212.13 G,22.69 K,2.42 M
2019-06-15 03:39:17,15.49 G,212.14 G,24.88 K,2.41 M
2019-06-15 03:39:19,15.49 G,212.14 G,24.88 K,2.42 M
2019-06-15 03:39:21,15.49 G,212.14 G,23.20 K,2.42 M
2019-06-15 03:39:23,15.49 G,212.15 G,26.17 K,2.41 M
2019-06-15 03:39:25,15.49 G,212.15 G,24.04 K,2.42 M
2019-06-15 03:39:27,15.50 G,212.16 G,25.27 K,2.42 M
2019-06-15 03:39:29,15.50 G,212.16 G,25.39 K,2.42 M
2019-06-15 03:39:31,15.50 G,212.17 G,25.46 K,2.42 M
2019-06-15 03:39:33,15.50 G,212.17 G,24.43 K,2.42 M
2019-06-15 03:39:35,15.50 G,212.18 G,24.49 K,2.41 M
2019-06-15 03:39:37,15.50 G,212.18 G,25.39 K,2.42 M
2019-06-15 03:39:39,15.50 G,212.19 G,24.23 K,2.42 M
2019-06-15 03:39:41,15.50 G,212.19 G,26.04 K,2.42 M
2019-06-15 03:39:43,15.50 G,212.20 G,23.85 K,2.42 M
2019-06-15 03:39:45,15.50 G,212.20 G,23.65 K,2.42 M
2019-06-15 03:39:47,15.50 G,212.21 G,25.78 K,2.42 M
2019-06-15 03:39:49,15.50 G,212.21 G,24.81 K,2.41 M
2019-06-15 03:39:51,15.50 G,212.22 G,24.75 K,2.42 M
2019-06-15 03:39:53,15.50 G,212.22 G,24.17 K,2.41 M
2019-06-15 03:39:55,15.50 G,212.23 G,25.46 K,2.42 M
2019-06-15 03:39:57,15.50 G,212.23 G,22.88 K,2.41 M
2019-06-15 03:39:59,15.50 G,212.23 G,25.01 K,2.42 M
2019-06-15 03:40:01,15.50 G,212.24 G,26.76 K,2.42 M
2019-06-15 03:40:03,15.50 G,212.24 G,22.43 K,2.41 M
2019-06-15 03:40:05,15.50 G,212.25 G,22.82 K,2.41 M
2019-06-15 03:40:07,15.50 G,212.25 G,24.62 K,2.42 M
2019-06-15 03:40:09,15.50 G,212.26 G,24.77 K,2.42 M
2019-06-15 03:40:11,15.50 G,212.26 G,25.01 K,2.41 M
2019-06-15 03:40:13,15.50 G,212.27 G,22.30 K,2.41 M
2019-06-15 03:40:15,15.50 G,212.27 G,24.36 K,2.42 M
2019-06-15 03:40:17,15.50 G,212.28 G,25.52 K,2.42 M
2019-06-15 03:40:19,15.50 G,212.28 G,23.65 K,2.42 M
2019-06-15 03:40:21,15.50 G,212.29 G,23.20 K,2.42 M
2019-06-15 03:40:23,15.50 G,212.29 G,27.52 K,2.41 M
2019-06-15 03:40:25,15.50 G,212.30 G,24.81 K,2.42 M
2019-06-15 03:40:28,15.50 G,212.30 G,25.14 K,2.42 M
2019-06-15 03:40:30,15.50 G,212.31 G,24.94 K,2.41 M
2019-06-15 03:40:32,15.50 G,212.31 G,24.88 K,2.42 M
2019-06-15 03:40:34,15.50 G,212.32 G,24.81 K,2.41 M
2019-06-15 03:40:36,15.50 G,212.32 G,23.33 K,2.41 M
2019-06-15 03:40:38,15.50 G,212.32 G,25.59 K,2.42 M
2019-06-15 03:40:40,15.50 G,212.33 G,25.44 K,2.40 M
2019-06-15 03:40:42,15.50 G,212.33 G,26.49 K,2.42 M
2019-06-15 03:40:44,15.50 G,212.34 G,25.59 K,2.41 M
2019-06-15 03:40:46,15.50 G,212.34 G,24.75 K,2.42 M
2019-06-15 03:40:48,15.50 G,212.35 G,25.14 K,2.42 M
2019-06-15 03:40:50,15.50 G,212.35 G,23.53 K,2.41 M
2019-06-15 03:40:52,15.50 G,212.36 G,23.53 K,2.41 M
2019-06-15 03:40:54,15.50 G,212.36 G,24.04 K,2.41 M
2019-06-15 03:40:56,15.50 G,212.37 G,24.30 K,2.41 M
2019-06-15 03:40:58,15.50 G,212.37 G,23.33 K,2.42 M
2019-06-15 03:41:00,15.50 G,212.38 G,25.01 K,2.42 M
2019-06-15 03:41:02,15.50 G,212.38 G,24.75 K,2.41 M
2019-06-15 03:41:04,15.50 G,212.39 G,23.53 K,2.41 M
2019-06-15 03:41:06,15.50 G,212.39 G,25.53 K,2.41 M
2019-06-15 03:41:08,15.50 G,212.40 G,24.36 K,2.41 M
2019-06-15 03:41:10,15.50 G,212.40 G,25.78 K,2.41 M
