2019-06-08 00:01:14,59.98 M,2.17 G,8.61 K,323.46 K
2019-06-08 00:01:16,60.00 M,2.18 G,2.04 K,44.67 K
2019-06-08 00:01:18,60.01 M,2.18 G,6.87 K,286.76 K
2019-06-08 00:01:20,60.02 M,2.18 G,1.46 K,326.00 B
2019-06-08 00:01:23,60.02 M,2.18 G,0.00 B,60.00 B
2019-06-08 00:01:25,60.03 M,2.18 G,3.72 K,143.23 K
2019-06-08 00:01:27,60.03 M,2.18 G,0.00 B,336.00 B
2019-06-08 00:01:29,60.03 M,2.18 G,0.00 B,216.00 B
2019-06-08 00:01:31,60.03 M,2.18 G,1.68 K,32.11 K
2019-06-08 00:01:34,60.04 M,2.18 G,0.00 B,432.00 B
2019-06-08 00:01:36,60.04 M,2.18 G,462.00 B,5.01 K
2019-06-08 00:01:38,60.04 M,2.18 G,0.00 B,1.37 K
2019-06-08 00:01:40,60.04 M,2.18 G,0.00 B,1.48 K
2019-06-08 00:01:42,60.04 M,2.18 G,7.80 K,476.96 K
2019-06-08 00:01:44,60.05 M,2.18 G,0.00 B,828.00 B
2019-06-08 00:01:46,60.05 M,2.18 G,0.00 B,924.00 B
2019-06-08 00:01:49,60.05 M,2.18 G,0.00 B,60.00 B
2019-06-08 00:01:51,60.05 M,2.18 G,0.00 B,276.00 B
2019-06-08 00:01:53,60.05 M,2.18 G,0.00 B,228.00 B
2019-06-08 00:01:55,60.05 M,2.18 G,0.00 B,5.96 K
2019-06-08 00:01:57,60.06 M,2.18 G,0.00 B,324.00 B
2019-06-08 00:01:59,60.06 M,2.18 G,2.06 K,75.32 K
2019-06-08 00:02:01,60.07 M,2.18 G,0.00 B,1.71 K
2019-06-08 00:02:03,60.08 M,2.18 G,7.09 K,355.38 K
2019-06-08 00:02:05,60.08 M,2.18 G,0.00 B,648.00 B
2019-06-08 00:02:07,60.08 M,2.18 G,6.96 K,355.90 K
2019-06-08 00:02:09,60.08 M,2.18 G,0.00 B,1.32 K
2019-06-08 00:02:11,60.08 M,2.18 G,1.68 K,29.38 K
2019-06-08 00:02:13,60.09 M,2.18 G,0.00 B,1.22 K
2019-06-08 00:02:15,60.09 M,2.18 G,4.38 K,247.53 K
2019-06-08 00:02:17,60.10 M,2.18 G,0.00 B,216.00 B
2019-06-08 00:02:19,60.10 M,2.18 G,7.69 K,355.42 K
2019-06-08 00:02:21,60.10 M,2.18 G,0.00 B,168.00 B
2019-06-08 00:02:23,60.11 M,2.18 G,6.51 K,352.74 K
2019-06-08 00:02:25,60.11 M,2.18 G,0.00 B,108.00 B
2019-06-08 00:02:27,60.11 M,2.18 G,0.00 B,108.00 B
2019-06-08 00:02:29,60.12 M,2.18 G,0.00 B,228.00 B
2019-06-08 00:02:31,60.12 M,2.18 G,0.00 B,276.00 B
2019-06-08 00:02:33,60.12 M,2.18 G,7.22 K,354.29 K
2019-06-08 00:02:35,60.12 M,2.18 G,0.00 B,1.22 K
2019-06-08 00:02:37,60.13 M,2.18 G,3.03 K,146.25 K
2019-06-08 00:02:39,60.13 M,2.18 G,0.00 B,1.11 K
2019-06-08 00:02:41,60.13 M,2.18 G,0.00 B,1.34 K
2019-06-08 00:02:44,60.13 M,2.18 G,0.00 B,708.00 B
2019-06-08 00:02:46,60.13 M,2.18 G,0.00 B,336.00 B
2019-06-08 00:02:49,60.13 M,2.18 G,0.00 B,276.00 B
2019-06-08 00:02:51,60.13 M,2.18 G,42.00 B,228.00 B
2019-06-08 00:02:54,60.14 M,2.18 G,0.00 B,288.00 B
2019-06-08 00:02:56,60.14 M,2.18 G,0.00 B,348.00 B
2019-06-08 00:03:00,60.14 M,2.18 G,0.00 B,432.00 B
2019-06-08 00:03:02,60.14 M,2.18 G,0.00 B,1.72 K
2019-06-08 00:03:04,60.14 M,2.18 G,1.16 K,14.86 K
2019-06-08 00:03:06,60.14 M,2.18 G,0.00 B,1.43 K
2019-06-08 00:03:08,60.14 M,2.18 G,0.00 B,1.44 K
2019-06-08 00:03:11,60.14 M,2.18 G,0.00 B,1.05 K
2019-06-08 00:03:13,60.14 M,2.18 G,0.00 B,492.00 B
2019-06-08 00:03:16,60.14 M,2.18 G,0.00 B,336.00 B
2019-06-08 00:03:18,60.14 M,2.18 G,0.00 B,276.00 B
2019-06-08 00:03:20,60.16 M,2.18 G,10.63 K,623.10 K
2019-06-08 00:03:22,60.16 M,2.18 G,0.00 B,216.00 B
2019-06-08 00:03:24,60.16 M,2.18 G,42.00 B,504.00 B
2019-06-08 00:03:26,60.16 M,2.18 G,4.25 K,315.39 K
2019-06-08 00:03:28,60.16 M,2.18 G,0.00 B,540.00 B
2019-06-08 00:03:30,60.16 M,2.18 G,0.00 B,1.34 K
2019-06-08 00:03:33,60.16 M,2.18 G,0.00 B,768.00 B
2019-06-08 00:03:35,60.16 M,2.18 G,0.00 B,1.43 K
2019-06-08 00:03:38,60.17 M,2.18 G,0.00 B,1.32 K
2019-06-08 00:03:40,60.17 M,2.18 G,0.00 B,1.11 K
2019-06-08 00:03:42,60.17 M,2.18 G,0.00 B,492.00 B
2019-06-08 00:03:44,60.17 M,2.18 G,0.00 B,444.00 B
2019-06-08 00:03:47,60.17 M,2.18 G,0.00 B,336.00 B
2019-06-08 00:03:49,60.17 M,2.18 G,204.00 B,246.00 B
2019-06-08 00:03:51,60.18 M,2.18 G,0.00 B,516.00 B
2019-06-08 00:03:53,60.18 M,2.18 G,5.35 K,168.29 K
2019-06-08 00:03:55,60.18 M,2.18 G,42.00 B,348.00 B
2019-06-08 00:03:57,60.19 M,2.18 G,4.58 K,134.21 K
2019-06-08 00:03:59,60.19 M,2.18 G,0.00 B,1.54 K
2019-06-08 00:04:01,60.19 M,2.18 G,0.00 B,948.00 B
2019-06-08 00:04:04,60.19 M,2.18 G,0.00 B,1.17 K
2019-06-08 00:04:06,60.19 M,2.18 G,0.00 B,504.00 B
2019-06-08 00:04:10,60.19 M,2.18 G,0.00 B,708.00 B
2019-06-08 00:04:12,60.19 M,2.18 G,0.00 B,648.00 B
2019-06-08 00:04:15,60.19 M,2.18 G,0.00 B,108.00 B
2019-06-08 00:04:17,60.19 M,2.18 G,0.00 B,552.00 B
2019-06-08 00:04:19,60.19 M,2.18 G,0.00 B,0.00 B
2019-06-08 00:04:21,60.20 M,2.18 G,0.00 B,276.00 B
2019-06-08 00:04:23,60.20 M,2.18 G,0.00 B,324.00 B
2019-06-08 00:04:25,60.20 M,2.18 G,5.08 K,238.54 K
2019-06-08 00:04:27,60.20 M,2.18 G,0.00 B,276.00 B
2019-06-08 00:04:29,60.21 M,2.18 G,6.46 K,239.69 K
2019-06-08 00:04:31,60.21 M,2.18 G,0.00 B,1.43 K
2019-06-08 00:04:33,60.21 M,2.18 G,0.00 B,1.23 K
2019-06-08 00:04:35,60.21 M,2.18 G,0.00 B,1.17 K
2019-06-08 00:04:37,60.21 M,2.18 G,0.00 B,1.65 K
2019-06-08 00:04:40,60.22 M,2.18 G,0.00 B,876.00 B
2019-06-08 00:04:42,60.22 M,2.18 G,0.00 B,384.00 B
2019-06-08 00:04:44,60.22 M,2.18 G,462.00 B,1.80 K
2019-06-08 00:04:46,60.22 M,2.18 G,0.00 B,0.00 B
2019-06-08 00:04:48,60.22 M,2.18 G,0.00 B,276.00 B
2019-06-08 00:04:50,60.22 M,2.18 G,0.00 B,0.00 B
2019-06-08 00:04:53,60.22 M,2.18 G,0.00 B,60.00 B
2019-06-08 00:04:55,60.22 M,2.18 G,42.00 B,1.28 K
2019-06-08 00:04:57,60.22 M,2.18 G,962.00 B,6.41 K
2019-06-08 00:04:59,60.22 M,2.18 G,0.00 B,648.00 B
2019-06-08 00:05:01,60.22 M,2.18 G,0.00 B,2.24 K
2019-06-08 00:05:03,60.22 M,2.18 G,462.00 B,3.10 K
2019-06-08 00:05:05,60.22 M,2.18 G,0.00 B,972.00 B
2019-06-08 00:05:07,60.22 M,2.18 G,0.00 B,816.00 B
2019-06-08 00:05:09,60.22 M,2.18 G,0.00 B,876.00 B
2019-06-08 00:05:11,60.22 M,2.18 G,0.00 B,384.00 B
2019-06-08 00:05:13,60.22 M,2.18 G,0.00 B,768.00 B
2019-06-08 00:05:16,60.23 M,2.18 G,462.00 B,1.39 K
2019-06-08 00:05:18,60.23 M,2.18 G,0.00 B,552.00 B
2019-06-08 00:05:20,60.23 M,2.18 G,0.00 B,180.00 B
2019-06-08 00:05:22,60.23 M,2.18 G,396.00 B,2.57 K
2019-06-08 00:05:24,60.23 M,2.18 G,0.00 B,540.00 B
2019-06-08 00:05:26,60.23 M,2.18 G,42.00 B,228.00 B
2019-06-08 00:05:28,60.23 M,2.18 G,0.00 B,2.04 K
2019-06-08 00:05:31,60.23 M,2.18 G,0.00 B,1.96 K
2019-06-08 00:05:33,60.23 M,2.18 G,0.00 B,1.01 K
2019-06-08 00:05:35,60.23 M,2.18 G,726.00 B,11.64 K
2019-06-08 00:05:37,60.23 M,2.18 G,0.00 B,1.18 K
2019-06-08 00:05:39,60.23 M,2.18 G,0.00 B,768.00 B
2019-06-08 00:05:41,60.23 M,2.18 G,3.16 K,152.72 K
2019-06-08 00:05:43,60.24 M,2.18 G,0.00 B,384.00 B
2019-06-08 00:05:45,60.24 M,2.18 G,0.00 B,120.00 B
2019-06-08 00:05:47,60.24 M,2.18 G,462.00 B,2.58 K
2019-06-08 00:05:49,60.24 M,2.18 G,0.00 B,168.00 B
2019-06-08 00:05:51,60.24 M,2.18 G,0.00 B,0.00 B
2019-06-08 00:05:54,60.24 M,2.18 G,0.00 B,168.00 B
2019-06-08 00:05:56,60.24 M,2.18 G,0.00 B,2.25 K
2019-06-08 00:05:59,60.24 M,2.18 G,0.00 B,1.11 K
