2019-06-15 04:43:40,17.01 G,245.71 G,84.00 B,963.00 B
2019-06-15 04:43:42,17.01 G,245.72 G,11.44 K,729.72 K
2019-06-15 04:43:44,17.01 G,245.72 G,26.88 K,2.40 M
2019-06-15 04:43:46,17.01 G,245.72 G,27.65 K,2.41 M
2019-06-15 04:43:48,17.01 G,245.72 G,0.00 B,1.17 K
2019-06-15 04:43:50,17.01 G,245.72 G,0.00 B,432.00 B
2019-06-15 04:43:52,17.01 G,245.72 G,0.00 B,1.07 K
2019-06-15 04:43:54,17.01 G,245.73 G,36.89 K,2.34 M
2019-06-15 04:43:56,17.01 G,245.73 G,31.00 K,2.43 M
2019-06-15 04:43:58,17.01 G,245.74 G,30.68 K,2.41 M
2019-06-15 04:44:00,17.01 G,245.74 G,30.36 K,2.42 M
2019-06-15 04:44:02,17.01 G,245.75 G,30.19 K,2.38 M
2019-06-15 04:44:04,17.01 G,245.75 G,29.47 K,2.37 M
2019-06-15 04:44:06,17.01 G,245.76 G,26.17 K,2.42 M
2019-06-15 04:44:08,17.01 G,245.76 G,25.18 K,2.41 M
2019-06-15 04:44:10,17.01 G,245.77 G,28.88 K,2.42 M
2019-06-15 04:44:12,17.01 G,245.77 G,26.75 K,2.42 M
2019-06-15 04:44:14,17.01 G,245.77 G,26.49 K,2.42 M
2019-06-15 04:44:16,17.01 G,245.78 G,26.75 K,2.42 M
2019-06-15 04:44:18,17.01 G,245.78 G,24.81 K,2.42 M
2019-06-15 04:44:20,17.01 G,245.79 G,26.62 K,2.42 M
2019-06-15 04:44:22,17.01 G,245.79 G,27.46 K,2.42 M
2019-06-15 04:44:24,17.01 G,245.80 G,74.90 K,1.53 M
2019-06-15 04:44:26,17.01 G,245.80 G,84.51 K,1.77 M
2019-06-15 04:44:28,17.01 G,245.80 G,83.36 K,1.77 M
2019-06-15 04:44:30,17.01 G,245.81 G,84.51 K,1.78 M
2019-06-15 04:44:32,17.01 G,245.81 G,83.22 K,1.76 M
2019-06-15 04:44:34,17.01 G,245.81 G,86.97 K,1.86 M
2019-06-15 04:44:36,17.01 G,245.82 G,2.34 K,47.45 K
