query,time,httpCalls,nbResults,errors
query_3358,,0
query_335,21.211,1,0
query_3360,5.816,1,0
query_3361,2.157,1,0
query_3362,37.787,1,0
query_3363,0.764,1,0
query_3364,109.69,1,0
query_3365,3.874,1,0
query_3366,19.587,1,0
query_3367,116.271,1,0
query_3368,10.853,1,0
query_3369,14.56,1,0
query_336,7.904,1,0
query_3370,3.669,1,0
query_3371,14.214,1,0
query_3372,0.18,1,0
query_3374,164.57,1,0
query_3375,0.023,1,0
query_3376,0.207,1,0
query_3377,0.655,1,0
query_3378,21.799,1,0
query_337,232.969,1,0
query_3380,97.698,1,0
query_3381,5.034,1,0
query_3382,135.63,1,0
query_3384,21.654,1,0
query_3385,8.952,1,0
query_3387,60.579,1,0
query_3388,10.37,1,0
query_3389,1.34,1,0
query_3390,16.751,1,0
query_3391,0.033,1,0
query_3392,168.162,1,0
query_3393,194.138,1,0
query_3394,17.226,1,0
query_3395,5.032,1,0
query_3396,0.393,1,0
query_3397,56.267,1,0
query_3399,25.254,1,0
query_339,16.961,1,0
query_33,0.684,1,0
query_3400,,0
query_3401,2.119,1,0
query_3402,0.033,1,0
query_3404,158.191,1,0
query_3406,14.326,1,0
query_3407,114.239,1,0
query_3408,15.303,1,0
query_340,177.971,1,0
query_3410,200.138,1,0
query_3411,18.414,1,0
query_3412,4.698,1,0
query_3413,106.652,1,0
query_3414,126.469,1,0
query_3415,83.687,1,0
query_3416,,0
query_3419,0.022,1,0
query_341,0.022,1,0
query_3420,0.021,1,0
query_3422,0.02,1,0
query_3426,0.02,1,0
query_3427,0.02,1,0
query_3428,0.021,1,0
query_3429,0.02,1,0
query_342,0.019,1,0
query_3431,0.021,1,0
query_3433,0.022,1,0
query_3434,0.021,1,0
query_3435,0.022,1,0
query_3436,0.021,1,0
query_3437,0.03,1,0
query_3438,0.021,1,0
query_3439,0.02,1,0
query_343,0.021,1,0
query_3440,0.02,1,0
query_3441,0.02,1,0
query_3442,51.869,1,0
query_3444,0.279,1,0
query_3445,2.203,1,0
query_3447,5.603,1,0
query_3448,20.259,1,0
query_3449,9.69,1,0
query_344,32.195,1,0
query_3450,28.512,1,0
query_3451,100.313,1,0
query_3452,3.949,1,0
query_3454,210.119,1,0
query_3455,5.064,1,0
query_3458,13.397,1,0
query_3459,182.569,1,0
query_345,26.349,1,0
query_3460,34.886,1,0
query_3461,26.91,1,0
query_3462,8.143,1,0
query_3463,0.024,1,0
query_3465,0.197,1,0
query_3466,0.119,1,0
query_3467,42.975,1,0
query_3468,177.97,1,0
query_3469,123.469,1,0
query_346,0.042,1,0
query_3470,84.845,1,0
query_3471,0.376,1,0
query_3472,2.845,1,0
query_3474,18.343,1,0
query_3476,,0
query_3478,67.507,1,0
query_3479,,0
query_347,2.484,1,0
query_3480,9.066,1,0
query_3481,124.876,1,0
query_3482,0.91,1,0
query_3483,0.025,1,0
query_3484,61.52,1,0
query_3485,78.722,1,0
query_3486,23.742,1,0
query_3487,3.137,1,0
query_3488,7.716,1,0
query_3489,0.027,1,0
query_348,1.65,1,0
query_3491,159.589,1,0
query_3492,0.024,1,0
query_3493,1.447,1,0
query_3495,2.617,1,0
query_3496,0.41,1,0
query_3497,172.255,1,0
query_3499,0.033,1,0
query_349,2.303,1,0
query_34,3.461,1,0
query_3500,0.283,1,0
query_3503,107.26,1,0
query_3504,122.124,1,0
query_3505,18.407,1,0
query_3506,295.234,1,0
query_3507,0.181,1,0
query_3508,2.308,1,0
query_3509,196.445,1,0
query_350,71.952,1,0
query_3510,0.4,1,0
query_3512,100.419,1,0
query_3513,0.549,1,0
query_3514,0.201,1,0
query_3515,79.851,1,0
query_3516,0.031,1,0
query_3517,4.259,1,0
query_3518,0.533,1,0
query_3520,29.804,1,0
query_3523,80.543,1,0
query_3524,0.026,1,0
query_3526,10.072,1,0
query_3527,,0
query_3528,4.232,1,0
query_3529,24.383,1,0
query_352,107.856,1,0
query_541,10.899,1,0
query_7242,21.906,1,0
