query,time,httpCalls,nbResults,errors
query_10109,,0
query_10171,170.772,1,0
query_10200,0.465,1,0
query_10377,,0
query_10389,10.434,1,0
query_10390,1.82,1,0
query_10433,54.789,1,0
query_10596,7.159,1,0
query_10687,0.034,1,0
query_10690,0.055,1,0
query_10719,174.72,1,0
query_10869,196.125,1,0
query_10907,28.038,1,0
query_10973,29.129,1,0
query_11020,14.083,1,0
query_11071,1.276,1,0
query_11143,34.32,1,0
query_11194,0.028,1,0
query_11293,6.698,1,0
query_11339,0.028,1,0
query_11349,59.058,1,0
query_11355,0.332,1,0
query_11513,1.974,1,0
query_11514,38.387,1,0
query_11674,5.434,1,0
query_11675,49.686,1,0
query_11742,133.248,1,0
query_1175,92.029,1,0
query_11776,0.169,1,0
query_11788,17.676,1,0
query_12075,0.148,1,0
query_12140,22.688,1,0
query_12229,62.184,1,0
query_12394,23.425,1,0
query_1283,0.023,1,0
query_1288,56.746,1,0
query_1313,0.543,1,0
query_1334,6.101,1,0
query_133,86.835,1,0
query_1399,0.201,1,0
query_1400,3.705,1,0
query_1401,37.325,1,0
query_1419,36.542,1,0
query_1471,12.716,1,0
query_1536,30.146,1,0
query_1766,5.03,1,0
query_1770,,0
query_1883,1.439,1,0
query_1941,13.436,1,0
query_2091,0.139,1,0
query_2163,18.08,1,0
query_2171,0.604,1,0
query_2202,0.722,1,0
query_2221,119.315,1,0
query_2482,0.045,1,0
query_2503,49.394,1,0
query_2550,9.715,1,0
query_2563,6.273,1,0
query_2678,53.357,1,0
query_2709,0.119,1,0
query_2718,78.791,1,0
query_2886,7.375,1,0
query_292,42.856,1,0
query_294,0.124,1,0
query_296,5.417,1,0
query_307,9.664,1,0
query_3084,0.243,1,0
query_3100,51.258,1,0
query_3202,3.66,1,0
query_3251,0.347,1,0
query_3428,35.984,1,0
query_3454,116.685,1,0
query_3470,25.963,1,0
query_3544,1.676,1,0
query_3558,0.135,1,0
query_3626,92.541,1,0
query_365,22.301,1,0
query_3675,2.055,1,0
query_3734,,0
query_3737,23.529,1,0
query_3739,8.767,1,0
query_3875,166.652,1,0
query_4102,0.023,1,0
query_4139,4.111,1,0
query_4189,2.853,1,0
query_4299,0.098,1,0
query_4432,85.506,1,0
query_448,3.814,1,0
query_4544,3.34,1,0
query_4642,0.883,1,0
query_4736,92.384,1,0
query_4751,2.694,1,0
query_4772,5.605,1,0
query_490,74.444,1,0
query_4911,0.023,1,0
query_5099,15.199,1,0
query_5105,47.682,1,0
query_5233,0.132,1,0
query_5373,7.193,1,0
query_5554,1.509,1,0
query_5575,,0
query_5688,2.96,1,0
query_5760,15.223,1,0
query_582,1.262,1,0
query_5853,22.735,1,0
query_5923,0.648,1,0
query_5929,64.807,1,0
query_5976,0.797,1,0
query_5980,0.163,1,0
query_5987,1.339,1,0
query_59,0.12,1,0
query_635,43.186,1,0
query_6378,10.197,1,0
query_6389,11.258,1,0
query_6422,49.254,1,0
query_6476,7.109,1,0
query_6499,5.309,1,0
query_6544,138.232,1,0
query_6568,1.447,1,0
query_6594,6.644,1,0
query_6684,83.041,1,0
query_6693,1.086,1,0
query_66,0.054,1,0
query_6709,2.02,1,0
query_6788,40.324,1,0
query_6888,0.153,1,0
query_7182,0.058,1,0
query_7251,8.063,1,0
query_7355,0.251,1,0
query_7495,12.425,1,0
query_7589,37.819,1,0
query_7707,0.069,1,0
query_778,9.945,1,0
query_8070,4.666,1,0
query_8080,0.538,1,0
query_8464,2.208,1,0
query_8789,32.34,1,0
query_8808,5.971,1,0
query_8869,0.043,1,0
query_8890,0.044,1,0
query_8930,0.172,1,0
query_895,0.257,1,0
query_8,21.161,1,0
query_9070,7.945,1,0
query_90,0.024,1,0
query_9350,0.686,1,0
query_9362,0.192,1,0
query_9375,0.075,1,0
query_9398,54.793,1,0
query_9405,7.541,1,0
query_9499,39.608,1,0
query_9543,0.172,1,0
query_9618,10.199,1,0
query_9811,29.835,1,0
query_9822,28.27,1,0
query_9856,0.107,1,0
