query,time,httpCalls,nbResults,errors
query_10603,,0
query_10941,1.82,1,0
query_12279,154.106,1,0
query_2489,6.181,1,0
query_248,0.228,1,0
query_2491,0.026,1,0
query_2492,10.944,1,0
query_2496,2.344,1,0
query_2497,0.14,1,0
query_2498,9.908,1,0
query_2499,9.019,1,0
query_249,5.714,1,0
query_24,249.821,1,0
query_2500,140.318,1,0
query_2503,89.955,1,0
query_2505,12.241,1,0
query_2507,,0
query_2508,155.272,1,0
query_2509,288.154,1,0
query_250,140.655,1,0
query_2510,191.149,1,0
query_2511,9.015,1,0
query_2512,11.216,1,0
query_2513,65.805,1,0
query_2514,285.827,1,0
query_2517,2.39,1,0
query_2518,160.748,1,0
query_2519,2.793,1,0
query_2520,,0
query_2521,42.92,1,0
query_2522,15.102,1,0
query_2525,0.399,1,0
query_2527,26.487,1,0
query_2528,133.348,1,0
query_2529,5.45,1,0
query_252,0.067,1,0
query_2530,17.697,1,0
query_2532,9.368,1,0
query_2533,77.593,1,0
query_2535,0.695,1,0
query_2538,17.162,1,0
query_2539,85.048,1,0
query_253,135.606,1,0
query_2541,108.654,1,0
query_2542,13.604,1,0
query_2543,55.794,1,0
query_2545,46.225,1,0
query_2546,0.024,1,0
query_2547,2.641,1,0
query_2549,11.73,1,0
query_254,0.16,1,0
query_2550,17.338,1,0
query_2551,3.567,1,0
query_2552,,0
query_2553,20.455,1,0
query_2554,17.462,1,0
query_2555,80.928,1,0
query_2556,156.775,1,0
query_2557,112.817,1,0
query_2558,0.038,1,0
query_2559,116.318,1,0
query_255,11.18,1,0
query_2560,18.764,1,0
query_2561,61.38,1,0
query_2563,24.478,1,0
query_2565,2.839,1,0
query_2566,117.84,1,0
query_2567,,0
query_2568,3.184,1,0
query_2569,0.031,1,0
query_2573,0.638,1,0
query_2574,33.638,1,0
query_2576,1.356,1,0
query_2577,0.544,1,0
query_2579,196.728,1,0
query_257,93.707,1,0
query_2580,149.504,1,0
query_2581,5.19,1,0
query_2582,102.779,1,0
query_2583,0.106,1,0
query_2584,153.88,1,0
query_2586,0.301,1,0
query_2587,58.017,1,0
query_2588,2.943,1,0
query_2589,0.249,1,0
query_258,70.351,1,0
query_2591,42.816,1,0
query_2592,34.187,1,0
query_2593,40.347,1,0
query_2594,0.55,1,0
query_2596,15.597,1,0
query_2597,0.423,1,0
query_2598,94.921,1,0
query_2599,0.104,1,0
query_259,109.34,1,0
query_25,29.86,1,0
query_2601,25.28,1,0
query_2602,134.938,1,0
query_2603,16.857,1,0
query_2604,3.446,1,0
query_2605,86.588,1,0
query_2607,0.442,1,0
query_2608,21.875,1,0
query_260,0.326,1,0
query_2610,137.175,1,0
query_2611,131.285,1,0
query_2613,233.014,1,0
query_2617,0.036,1,0
query_2618,4.403,1,0
query_2619,0.166,1,0
query_261,164.039,1,0
query_2620,87.668,1,0
query_2621,12.171,1,0
query_2622,7.604,1,0
query_2624,90.294,1,0
query_2625,90.426,1,0
query_2626,6.758,1,0
query_2631,5.814,1,0
query_2632,10.134,1,0
query_2633,0.408,1,0
query_2635,194.666,1,0
query_2636,0.038,1,0
query_2638,65.754,1,0
query_2639,5.764,1,0
query_263,9.157,1,0
query_2641,120.561,1,0
query_2642,54.219,1,0
query_2643,96.381,1,0
query_2644,5.455,1,0
query_2645,112.043,1,0
query_2647,0.192,1,0
query_2648,21.877,1,0
query_2649,1.709,1,0
query_2650,2.721,1,0
query_2651,0.494,1,0
query_2652,11.641,1,0
query_2653,13.972,1,0
query_2654,146.113,1,0
query_2655,2.371,1,0
query_2656,0.567,1,0
query_2657,1.509,1,0
query_2658,36.639,1,0
query_2659,95.348,1,0
query_265,64.956,1,0
query_2660,,0
query_2661,6.24,1,0
query_3379,43.53,1,0
query_4234,,0
query_4251,46.891,1,0
query_448,7.064,1,0
query_5691,0.288,1,0
query_711,16.632,1,0
query_7877,10.481,1,0
query_8928,26.619,1,0
query_9017,27.215,1,0
query_9639,0.025,1,0
