2019-06-05 04:43:42,11.90 G,62.59 G,0.00 B,1.13 K
2019-06-05 04:43:44,11.90 G,62.60 G,21.43 K,1.11 M
2019-06-05 04:43:46,11.90 G,62.60 G,34.12 K,2.42 M
2019-06-05 04:43:48,11.90 G,62.60 G,0.00 B,1.37 K
2019-06-05 04:43:50,11.90 G,62.60 G,0.00 B,747.00 B
2019-06-05 04:43:52,11.90 G,62.60 G,0.00 B,1.08 K
2019-06-05 04:43:54,11.90 G,62.60 G,0.00 B,552.00 B
2019-06-05 04:43:56,11.90 G,62.61 G,49.69 K,2.42 M
2019-06-05 04:43:59,11.90 G,62.61 G,0.00 B,876.00 B
2019-06-05 04:44:01,11.90 G,62.61 G,0.00 B,768.00 B
2019-06-05 04:44:03,11.90 G,62.61 G,45.06 K,1.87 M
2019-06-05 04:44:05,11.90 G,62.61 G,50.92 K,2.43 M
2019-06-05 04:44:07,11.90 G,62.62 G,50.53 K,2.43 M
2019-06-05 04:44:09,11.90 G,62.62 G,48.08 K,2.43 M
2019-06-05 04:44:11,11.90 G,62.63 G,33.00 K,2.42 M
2019-06-05 04:44:13,11.90 G,62.63 G,0.00 B,915.00 B
2019-06-05 04:44:15,11.90 G,62.63 G,0.00 B,855.00 B
2019-06-05 04:44:17,11.90 G,62.63 G,35.86 K,2.16 M
2019-06-05 04:44:19,11.90 G,62.64 G,31.02 K,2.40 M
2019-06-05 04:44:21,11.90 G,62.64 G,50.00 B,768.00 B
2019-06-05 04:44:23,11.90 G,62.64 G,0.00 B,432.00 B
2019-06-05 04:44:25,11.90 G,62.64 G,47.63 K,1.79 M
2019-06-05 04:44:27,11.90 G,62.64 G,37.55 K,2.42 M
2019-06-05 04:44:29,11.90 G,62.65 G,0.00 B,660.00 B
2019-06-05 04:44:31,11.90 G,62.65 G,0.00 B,600.00 B
2019-06-05 04:44:33,11.90 G,62.65 G,0.00 B,1.86 K
2019-06-05 04:44:35,11.90 G,62.65 G,42.41 K,2.42 M
2019-06-05 04:44:37,11.90 G,62.65 G,38.87 K,2.42 M
2019-06-05 04:44:39,11.90 G,62.66 G,36.54 K,2.42 M
2019-06-05 04:44:41,11.90 G,62.66 G,39.70 K,2.42 M
2019-06-05 04:44:43,11.90 G,62.67 G,48.08 K,2.42 M
2019-06-05 04:44:45,11.90 G,62.67 G,41.12 K,2.42 M
2019-06-05 04:44:47,11.90 G,62.68 G,56.88 K,1.81 M
2019-06-05 04:44:49,11.90 G,62.68 G,71.20 K,1.43 M
2019-06-05 04:44:51,11.90 G,62.68 G,76.09 K,1.54 M
2019-06-05 04:44:53,11.90 G,62.69 G,76.87 K,1.63 M
2019-06-05 04:44:55,11.91 G,62.69 G,75.12 K,1.55 M
2019-06-05 04:44:57,11.91 G,62.69 G,20.36 K,409.97 K
2019-06-05 04:44:59,11.91 G,62.69 G,81.43 K,1.66 M
2019-06-05 04:45:01,11.91 G,62.70 G,81.96 K,1.68 M
2019-06-05 04:45:03,11.91 G,62.70 G,74.54 K,1.55 M
2019-06-05 04:45:05,11.91 G,62.70 G,78.03 K,1.60 M
2019-06-05 04:45:07,11.91 G,62.71 G,76.44 K,1.57 M
2019-06-05 04:45:09,11.91 G,62.71 G,70.61 K,1.43 M
2019-06-05 04:45:11,11.91 G,62.71 G,82.22 K,1.67 M
2019-06-05 04:45:13,11.91 G,62.72 G,81.58 K,1.68 M
2019-06-05 04:45:15,11.91 G,62.72 G,78.56 K,1.63 M
2019-06-05 04:45:17,11.91 G,62.72 G,77.15 K,1.60 M
2019-06-05 04:45:19,11.91 G,62.72 G,70.78 K,1.51 M
2019-06-05 04:45:21,11.91 G,62.73 G,75.77 K,1.53 M
2019-06-05 04:45:23,11.91 G,62.73 G,76.85 K,1.52 M
2019-06-05 04:45:25,11.91 G,62.73 G,64.99 K,1.27 M
2019-06-05 04:45:27,11.91 G,62.74 G,74.94 K,1.57 M
2019-06-05 04:45:29,11.91 G,62.74 G,71.54 K,1.52 M
2019-06-05 04:45:31,11.91 G,62.74 G,70.87 K,1.50 M
2019-06-05 04:45:33,11.91 G,62.75 G,78.57 K,1.62 M
2019-06-05 04:45:35,11.91 G,62.75 G,63.23 K,1.34 M
2019-06-05 04:45:37,11.91 G,62.75 G,45.01 K,991.58 K
2019-06-05 04:45:39,11.91 G,62.75 G,28.28 K,622.22 K
2019-06-05 04:45:41,11.91 G,62.75 G,31.47 K,687.82 K
2019-06-05 04:45:43,11.91 G,62.75 G,24.49 K,518.61 K
2019-06-05 04:45:45,11.91 G,62.75 G,24.40 K,496.71 K
2019-06-05 04:45:47,11.91 G,62.76 G,75.17 K,1.56 M
2019-06-05 04:45:49,11.91 G,62.76 G,72.35 K,1.53 M
2019-06-05 04:45:51,11.91 G,62.76 G,74.68 K,1.58 M
2019-06-05 04:45:53,11.91 G,62.77 G,50.94 K,1.11 M
2019-06-05 04:45:55,11.91 G,62.77 G,36.51 K,820.37 K
2019-06-05 04:45:57,11.91 G,62.77 G,19.97 K,435.18 K
2019-06-05 04:45:59,11.91 G,62.77 G,30.13 K,658.15 K
2019-06-05 04:46:01,11.91 G,62.77 G,30.90 K,711.40 K
2019-06-05 04:46:03,11.91 G,62.77 G,79.74 K,1.67 M
2019-06-05 04:46:05,11.91 G,62.78 G,87.34 K,1.81 M
2019-06-05 04:46:07,11.91 G,62.78 G,73.93 K,1.61 M
2019-06-05 04:46:09,11.91 G,62.78 G,42.94 K,953.06 K
2019-06-05 04:46:11,11.91 G,62.78 G,40.60 K,894.90 K
2019-06-05 04:46:13,11.91 G,62.79 G,33.34 K,717.83 K
2019-06-05 04:46:15,11.91 G,62.79 G,27.26 K,575.59 K
2019-06-05 04:46:17,11.91 G,62.79 G,49.82 K,1.02 M
2019-06-05 04:46:19,11.91 G,62.79 G,86.23 K,1.75 M
2019-06-05 04:46:21,11.91 G,62.79 G,62.94 K,1.30 M
2019-06-05 04:46:23,11.91 G,62.80 G,60.12 K,1.28 M
2019-06-05 04:46:25,11.91 G,62.80 G,41.84 K,900.34 K
2019-06-05 04:46:27,11.91 G,62.80 G,34.24 K,746.72 K
2019-06-05 04:46:29,11.91 G,62.80 G,18.07 K,398.96 K
2019-06-05 04:46:31,11.91 G,62.80 G,42.00 B,1.17 K
2019-06-05 04:46:33,11.91 G,62.80 G,0.00 B,276.00 B
2019-06-05 04:46:35,11.91 G,62.80 G,11.64 K,348.90 K
2019-06-05 04:46:37,11.91 G,62.81 G,33.90 K,2.43 M
2019-06-05 04:46:39,11.91 G,62.81 G,33.26 K,2.42 M
2019-06-05 04:46:41,11.91 G,62.82 G,32.48 K,2.42 M
2019-06-05 04:46:43,11.91 G,62.82 G,33.71 K,2.43 M
2019-06-05 04:46:45,11.91 G,62.83 G,38.54 K,2.41 M
2019-06-05 04:46:47,11.91 G,62.83 G,35.26 K,2.42 M
2019-06-05 04:46:49,11.91 G,62.83 G,41.44 K,2.41 M
2019-06-05 04:46:51,11.91 G,62.84 G,35.90 K,2.41 M
2019-06-05 04:46:53,11.91 G,62.84 G,38.48 K,2.31 M
2019-06-05 04:46:55,11.91 G,62.85 G,42.67 K,2.61 M
2019-06-05 04:46:57,11.91 G,62.85 G,32.68 K,2.42 M
2019-06-05 04:46:59,11.91 G,62.86 G,30.25 K,2.40 M
2019-06-05 04:47:01,11.91 G,62.86 G,32.36 K,2.42 M
2019-06-05 04:47:03,11.91 G,62.87 G,32.94 K,2.43 M
2019-06-05 04:47:05,11.91 G,62.87 G,132.00 B,798.00 B
2019-06-05 04:47:07,11.91 G,62.87 G,0.00 B,660.00 B
2019-06-05 04:47:09,11.91 G,62.87 G,0.00 B,936.00 B
2019-06-05 04:47:11,11.91 G,62.87 G,0.00 B,936.00 B
2019-06-05 04:47:13,11.91 G,62.87 G,0.00 B,720.00 B
2019-06-05 04:47:15,11.91 G,62.87 G,0.00 B,1.01 K
2019-06-05 04:47:17,11.91 G,62.87 G,0.00 B,708.00 B
2019-06-05 04:47:19,11.91 G,62.87 G,0.00 B,768.00 B
2019-06-05 04:47:22,11.91 G,62.87 G,37.85 K,1.93 M
2019-06-05 04:47:24,11.91 G,62.88 G,48.04 K,2.41 M
2019-06-05 04:47:26,11.91 G,62.88 G,90.08 K,1.81 M
2019-06-05 04:47:28,11.91 G,62.88 G,87.80 K,1.78 M
2019-06-05 04:47:30,11.91 G,62.89 G,70.10 K,1.53 M
2019-06-05 04:47:32,11.91 G,62.89 G,93.48 K,1.80 M
2019-06-05 04:47:34,11.91 G,62.89 G,84.98 K,1.72 M
2019-06-05 04:47:36,11.91 G,62.90 G,87.09 K,1.80 M
2019-06-05 04:47:38,11.91 G,62.90 G,82.55 K,1.70 M
2019-06-05 04:47:40,11.91 G,62.91 G,79.11 K,1.65 M
2019-06-05 04:47:42,11.91 G,62.91 G,84.01 K,1.72 M
2019-06-05 04:47:44,11.91 G,62.91 G,83.13 K,1.73 M
2019-06-05 04:47:46,11.91 G,62.92 G,74.04 K,1.57 M
2019-06-05 04:47:48,11.91 G,62.92 G,0.00 B,648.00 B
2019-06-05 04:47:50,11.91 G,62.92 G,0.00 B,876.00 B
2019-06-05 04:47:52,11.91 G,62.92 G,24.50 K,1005.13 K
2019-06-05 04:47:54,11.91 G,62.92 G,90.21 K,1.81 M
2019-06-05 04:47:56,11.91 G,62.92 G,91.83 K,1.84 M
2019-06-05 04:47:58,11.91 G,62.93 G,87.80 K,1.81 M
2019-06-05 04:48:00,11.91 G,62.93 G,84.64 K,1.79 M
