2019-06-13 00:06:47,17.49 G,156.98 G,84.00 B,1.43 K
2019-06-13 00:06:49,17.49 G,156.98 G,0.00 B,672.00 B
2019-06-13 00:06:51,17.49 G,156.98 G,2.11 K,59.05 K
2019-06-13 00:06:53,17.49 G,156.98 G,0.00 B,108.00 B
2019-06-13 00:06:55,17.49 G,156.98 G,0.00 B,675.00 B
2019-06-13 00:06:57,17.49 G,156.98 G,25.60 K,1.96 M
2019-06-13 00:06:59,17.49 G,156.98 G,13.53 K,1.03 M
2019-06-13 00:07:01,17.49 G,156.98 G,0.00 B,1.37 K
2019-06-13 00:07:03,17.49 G,156.98 G,0.00 B,1.01 K
2019-06-13 00:07:05,17.49 G,156.98 G,889.00 B,20.28 K
2019-06-13 00:07:07,17.49 G,156.99 G,25.33 K,2.42 M
2019-06-13 00:07:09,17.49 G,156.99 G,24.36 K,2.43 M
2019-06-13 00:07:11,17.49 G,157.00 G,25.01 K,2.41 M
2019-06-13 00:07:13,17.49 G,157.00 G,26.10 K,2.41 M
2019-06-13 00:07:15,17.49 G,157.00 G,24.36 K,2.42 M
2019-06-13 00:07:17,17.49 G,157.01 G,24.11 K,2.41 M
2019-06-13 00:07:19,17.49 G,157.01 G,24.43 K,2.42 M
2019-06-13 00:07:21,17.49 G,157.02 G,25.39 K,2.41 M
2019-06-13 00:07:23,17.49 G,157.02 G,0.00 B,624.00 B
2019-06-13 00:07:25,17.49 G,157.02 G,0.00 B,1.00 K
2019-06-13 00:07:27,17.49 G,157.02 G,0.00 B,600.00 B
2019-06-13 00:07:29,17.49 G,157.02 G,24.36 K,2.42 M
2019-06-13 00:07:31,17.49 G,157.03 G,25.52 K,2.42 M
2019-06-13 00:07:33,17.49 G,157.03 G,24.69 K,2.41 M
2019-06-13 00:07:35,17.49 G,157.04 G,25.65 K,2.42 M
2019-06-13 00:07:37,17.49 G,157.04 G,25.46 K,2.41 M
2019-06-13 00:07:39,17.49 G,157.05 G,127.53 K,2.28 M
2019-06-13 00:07:41,17.49 G,157.05 G,0.00 B,756.00 B
2019-06-13 00:07:43,17.49 G,157.05 G,204.00 B,1.73 K
2019-06-13 00:07:45,17.49 G,157.05 G,21.08 K,644.84 K
2019-06-13 00:07:47,17.49 G,157.05 G,25.52 K,2.43 M
2019-06-13 00:07:49,17.49 G,157.06 G,25.52 K,2.42 M
2019-06-13 00:07:51,17.49 G,157.06 G,25.65 K,2.43 M
2019-06-13 00:07:53,17.49 G,157.07 G,26.10 K,2.42 M
2019-06-13 00:07:55,17.49 G,157.07 G,26.36 K,2.43 M
2019-06-13 00:07:57,17.49 G,157.08 G,26.36 K,2.43 M
2019-06-13 00:08:00,17.49 G,157.08 G,26.49 K,2.43 M
2019-06-13 00:08:02,17.49 G,157.09 G,26.75 K,2.43 M
2019-06-13 00:08:04,17.49 G,157.09 G,25.46 K,2.43 M
2019-06-13 00:08:06,17.49 G,157.10 G,25.07 K,2.43 M
2019-06-13 00:08:08,17.49 G,157.10 G,25.59 K,2.43 M
2019-06-13 00:08:10,17.49 G,157.11 G,25.52 K,2.43 M
2019-06-13 00:08:12,17.49 G,157.11 G,23.65 K,2.41 M
2019-06-13 00:08:14,17.49 G,157.12 G,25.85 K,2.41 M
2019-06-13 00:08:16,17.49 G,157.12 G,24.69 K,2.41 M
2019-06-13 00:08:18,17.49 G,157.12 G,26.55 K,2.42 M
2019-06-13 00:08:20,17.49 G,157.13 G,21.59 K,2.40 M
2019-06-13 00:08:22,17.49 G,157.13 G,23.65 K,2.42 M
2019-06-13 00:08:24,17.49 G,157.14 G,24.94 K,2.43 M
2019-06-13 00:08:26,17.49 G,157.14 G,25.27 K,2.42 M
2019-06-13 00:08:28,17.49 G,157.15 G,26.49 K,2.42 M
2019-06-13 00:08:30,17.49 G,157.15 G,26.94 K,2.42 M
2019-06-13 00:08:32,17.49 G,157.16 G,26.75 K,2.42 M
2019-06-13 00:08:34,17.49 G,157.16 G,26.85 K,2.41 M
2019-06-13 00:08:36,17.49 G,157.17 G,25.91 K,2.41 M
2019-06-13 00:08:38,17.49 G,157.17 G,24.56 K,2.41 M
2019-06-13 00:08:40,17.49 G,157.18 G,25.85 K,2.42 M
2019-06-13 00:08:42,17.49 G,157.18 G,24.75 K,2.41 M
2019-06-13 00:08:44,17.49 G,157.19 G,25.59 K,2.43 M
2019-06-13 00:08:46,17.49 G,157.19 G,25.46 K,2.42 M
2019-06-13 00:08:48,17.49 G,157.20 G,26.94 K,2.42 M
2019-06-13 00:08:50,17.49 G,157.20 G,25.14 K,2.41 M
2019-06-13 00:08:52,17.49 G,157.21 G,27.20 K,2.41 M
2019-06-13 00:08:54,17.49 G,157.21 G,27.01 K,2.43 M
2019-06-13 00:08:56,17.49 G,157.21 G,26.75 K,2.42 M
2019-06-13 00:08:58,17.49 G,157.22 G,26.88 K,2.42 M
2019-06-13 00:09:00,17.49 G,157.22 G,24.17 K,2.41 M
2019-06-13 00:09:02,17.49 G,157.23 G,23.14 K,2.39 M
2019-06-13 00:09:04,17.49 G,157.23 G,23.91 K,2.42 M
2019-06-13 00:09:06,17.49 G,157.24 G,23.59 K,2.42 M
2019-06-13 00:09:08,17.49 G,157.24 G,26.36 K,2.41 M
2019-06-13 00:09:10,17.49 G,157.25 G,26.62 K,2.42 M
2019-06-13 00:09:12,17.49 G,157.25 G,24.04 K,2.41 M
2019-06-13 00:09:14,17.49 G,157.26 G,29.46 K,2.42 M
2019-06-13 00:09:16,17.49 G,157.26 G,30.81 K,2.41 M
2019-06-13 00:09:18,17.49 G,157.27 G,23.98 K,2.42 M
2019-06-13 00:09:20,17.49 G,157.27 G,24.17 K,2.41 M
2019-06-13 00:09:22,17.49 G,157.28 G,24.11 K,2.41 M
2019-06-13 00:09:24,17.49 G,157.28 G,25.91 K,2.42 M
2019-06-13 00:09:26,17.49 G,157.29 G,23.40 K,2.42 M
2019-06-13 00:09:28,17.49 G,157.29 G,25.33 K,2.42 M
2019-06-13 00:09:30,17.49 G,157.29 G,28.42 K,2.40 M
2019-06-13 00:09:32,17.49 G,157.30 G,26.36 K,2.42 M
2019-06-13 00:09:34,17.49 G,157.30 G,26.10 K,2.40 M
2019-06-13 00:09:36,17.49 G,157.31 G,25.20 K,2.41 M
2019-06-13 00:09:38,17.49 G,157.31 G,24.04 K,2.41 M
2019-06-13 00:09:40,17.50 G,157.32 G,26.92 K,2.42 M
2019-06-13 00:09:42,17.50 G,157.32 G,25.85 K,2.41 M
2019-06-13 00:09:44,17.50 G,157.33 G,23.20 K,2.40 M
2019-06-13 00:09:46,17.50 G,157.33 G,25.07 K,2.42 M
2019-06-13 00:09:48,17.50 G,157.34 G,25.27 K,2.42 M
2019-06-13 00:09:50,17.50 G,157.34 G,26.60 K,2.40 M
2019-06-13 00:09:52,17.50 G,157.35 G,25.67 K,2.41 M
2019-06-13 00:09:54,17.50 G,157.35 G,25.78 K,2.41 M
2019-06-13 00:09:56,17.50 G,157.36 G,24.62 K,2.41 M
2019-06-13 00:09:58,17.50 G,157.36 G,25.52 K,2.42 M
2019-06-13 00:10:00,17.50 G,157.37 G,25.59 K,2.40 M
2019-06-13 00:10:02,17.50 G,157.37 G,25.20 K,2.41 M
2019-06-13 00:10:04,17.50 G,157.38 G,26.23 K,2.40 M
2019-06-13 00:10:06,17.50 G,157.38 G,25.78 K,2.41 M
2019-06-13 00:10:08,17.50 G,157.38 G,26.17 K,2.42 M
2019-06-13 00:10:10,17.50 G,157.39 G,25.72 K,2.42 M
2019-06-13 00:10:12,17.50 G,157.39 G,26.94 K,2.41 M
2019-06-13 00:10:14,17.50 G,157.40 G,26.68 K,2.42 M
2019-06-13 00:10:16,17.50 G,157.40 G,25.33 K,2.42 M
2019-06-13 00:10:18,17.50 G,157.41 G,24.23 K,2.41 M
2019-06-13 00:10:20,17.50 G,157.41 G,25.65 K,2.40 M
2019-06-13 00:10:22,17.50 G,157.42 G,28.46 K,2.41 M
2019-06-13 00:10:24,17.50 G,157.42 G,26.94 K,2.41 M
2019-06-13 00:10:26,17.50 G,157.43 G,23.78 K,2.42 M
2019-06-13 00:10:28,17.50 G,157.43 G,26.17 K,2.42 M
2019-06-13 00:10:30,17.50 G,157.44 G,25.07 K,2.41 M
2019-06-13 00:10:32,17.50 G,157.44 G,26.36 K,2.40 M
2019-06-13 00:10:34,17.50 G,157.45 G,26.36 K,2.41 M
2019-06-13 00:10:36,17.50 G,157.45 G,25.46 K,2.42 M
2019-06-13 00:10:38,17.50 G,157.46 G,27.26 K,2.42 M
2019-06-13 00:10:40,17.50 G,157.46 G,25.46 K,2.40 M
2019-06-13 00:10:42,17.50 G,157.46 G,23.40 K,2.42 M
2019-06-13 00:10:44,17.50 G,157.47 G,23.98 K,2.41 M
2019-06-13 00:10:46,17.50 G,157.47 G,23.59 K,2.42 M
2019-06-13 00:10:48,17.50 G,157.48 G,24.50 K,2.42 M
2019-06-13 00:10:50,17.50 G,157.48 G,24.49 K,2.41 M
2019-06-13 00:10:52,17.50 G,157.49 G,23.91 K,2.42 M
2019-06-13 00:10:54,17.50 G,157.49 G,27.84 K,2.42 M
2019-06-13 00:10:56,17.50 G,157.50 G,26.94 K,2.41 M
2019-06-13 00:10:58,17.50 G,157.50 G,23.91 K,2.41 M
2019-06-13 00:11:00,17.50 G,157.51 G,24.23 K,2.43 M
2019-06-13 00:11:02,17.50 G,157.51 G,24.94 K,2.40 M
2019-06-13 00:11:04,17.50 G,157.52 G,24.23 K,2.42 M
2019-06-13 00:11:06,17.50 G,157.52 G,24.62 K,2.41 M
2019-06-13 00:11:08,17.50 G,157.53 G,24.69 K,2.42 M
2019-06-13 00:11:10,17.50 G,157.53 G,23.78 K,2.41 M
2019-06-13 00:11:12,17.50 G,157.54 G,24.11 K,2.42 M
2019-06-13 00:11:14,17.50 G,157.54 G,23.72 K,2.41 M
2019-06-13 00:11:16,17.50 G,157.55 G,23.53 K,2.41 M
